tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1429054668290752528,2021-08-21 12:15:58,AFLBluesGiants,en,0,Twitter for Android,http://twitter.com/download/android,Just gotta love eddie   #AFLBluesGiants,2015-03-14 07:16:16,nqr,16,,"Melbourne, Victoria",#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.007011341,0.09257724,0.90041137
1429054667485454337,2021-08-21 12:15:57,AFLBluesGiants,en,0,Twitter for iPhone,http://twitter.com/download/iphone,I love u Eddie 😭 #AFLBluesGiants,2020-09-16 00:32:21,J,12,I’m stupid af. On Aboriginal land ⚫️🟡🔴,"Melbourne, Victoria",#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.003574693,0.02568572,0.97073954
1429054654684438529,2021-08-21 12:15:54,AFLBluesGiants,en,0,Twitter for iPhone,http://twitter.com/download/iphone,Eddie!!! 💙💙 #AFLBluesGiants,2009-03-19 08:23:15,Jay Hyett,742,,3rd rock from the sun,#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.0013665371,0.05654618,0.9420873
1429054651026923526,2021-08-21 12:15:54,AFLBluesGiants,en,0,Twitter Web App,https://mobile.twitter.com,One last bit of Eddie magic! Thank you!! #AFLBluesGiants,2019-12-18 11:58:16,The Navy Blue Corner,718,A Carlton FC Podcast; Hosted by @iantbrowney & @lachylydiard. Listen on Spotify and Apple Podcasts,"Carlton, Melbourne",#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.0013446485,0.023826662,0.9748287
1429054631733194758,2021-08-21 12:15:49,"boundbyblue, aflbluesgiants",en,0,Twitter Web App,https://mobile.twitter.com,"Ah Eddie - that's beautiful. 

Leave 'em wanting more legend. 

#boundbyblue #aflbluesgiants",2008-09-29 08:49:20,Richard Behrens,15306,Event & generalist photographer and Web editor (Call Me!).  #Foodie #Wine #afl #BoundByBlue #ChangeTheDate Opinions all mine.,Unceded Ngunnawal land ,#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.005032669,0.052683566,0.9422838
1429054631083085825,2021-08-21 12:15:49,AFLBluesGiants,en,2,Twitter for iPhone,http://twitter.com/download/iphone,"RT @AFLNation: EDDIE BETTS.

The game may be beyond Carlton's reach, but the retiring star has his second of the night.

#AFLBluesGiants",2010-09-17 08:26:48,Victor #StaySafe 🇦🇺,748,"WCE, PiesW, Racing, All Blacks, Crusaders, PSG, CFC, Rugby #AFLW #weather #AFLFantasy #SuperCoach #gopackgo #ripcity #yourstorm #letsgopens #resilientsf","Perth, Western Australia",#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.05288255,0.607002,0.3401154
1429054629308866566,2021-08-21 12:15:48,AFLBluesGiants,en,0,Twitter for iPhone,http://twitter.com/download/iphone,Eddie Betts! #AFLBluesGiants,2010-12-22 07:24:09,Paul,1225,"Who am I, Why am I here and where am I going?",Melbourne Australia,#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.017196095,0.6808865,0.30191743
1429054595297210371,2021-08-21 12:15:40,AFLBluesGiants,en,0,Twitter for iPhone,http://twitter.com/download/iphone,Fantastic Eddie gets one more. #AFLBluesGiants,2015-09-26 00:10:07,Rosalind Lloyd,95,"Christian who loves cricket (after I married my cricket loving husband) Coldplay U2, Manly, Sydney Swifts and Swans","Sydney, New South Wales",#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.04663867,0.4661748,0.4871865
1429054591107166216,2021-08-21 12:15:39,aflbluesGiants,en,0,Twitter for iPhone,http://twitter.com/download/iphone,Eddie! Possibly his last goal #aflbluesGiants,2010-09-17 08:26:48,Victor #StaySafe 🇦🇺,748,"WCE, PiesW, Racing, All Blacks, Crusaders, PSG, CFC, Rugby #AFLW #weather #AFLFantasy #SuperCoach #gopackgo #ripcity #yourstorm #letsgopens #resilientsf","Perth, Western Australia",#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.020856699,0.71665347,0.26248977
1429054590767435785,2021-08-21 12:15:39,AFLBluesGiants,en,2,Twitter for iPhone,http://twitter.com/download/iphone,"RT @AFLNation: EDDIE BETTS.

The game may be beyond Carlton's reach, but the retiring star has his second of the night.

#AFLBluesGiants",2018-12-27 08:57:25,Morsey,263,My #1s @westcoasteagles 💙💛@westperthfc @cardinals @pertheat l🏉🥎⚾️🏀. Uncle of 3. 🌈 17yo member WCEFC,Australia,#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.05288255,0.607002,0.3401154
1429054568604659712,2021-08-21 12:15:34,aflbluesGiants,en,0,Twitter for Android,http://twitter.com/download/android,"Eddie. 🥺🥰
#aflbluesGiants",2013-02-06 02:18:40,🌻 Channy Lou 🌻,185,32 • Mum • MUA • Hot Mess,"Adelaide, South Australia",#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.0020632131,0.066741444,0.9311953
1429054555426152455,2021-08-21 12:15:31,AFLBluesGiants,en,2,TweetDeck,https://about.twitter.com/products/tweetdeck,"EDDIE BETTS.

The game may be beyond Carlton's reach, but the retiring star has his second of the night.

#AFLBluesGiants",2010-03-11 03:59:14,AFL Nation,80361,"Australia’s most widely syndicated AFL broadcast. 

Stream audio of every AFL game live at https://t.co/YQ54xC7PJV",Melbourne,#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.041682087,0.5624685,0.39584938
1429054532806352896,2021-08-21 12:15:25,AFLBluesGiants,en,0,TweetDeck,https://about.twitter.com/products/tweetdeck,"YES!!! JUST YES!!! Eddie Betts gets another goal.

#AFLBluesGiants",2009-09-05 00:29:13,TalkingCarlton.com,4611,"Independent footy forum where you can talk Carlton 24 hours a day, 7 days a week! (Account managed by camel.)

Retweets aren't necessarily an endorsement.",The Internet,#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.0034691356,0.051879264,0.9446516
1429054531313221637,2021-08-21 12:15:25,AFLBluesGiants,en,0,AFLxScore,https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels,"#AFLBluesGiants Q4 26:46 GWS BEHIND (in play)
JHopper 33.1m 64° xScore 3.37 (47%)
Score: CARL 68 - 88 GWS | xScore:… https://t.co/slwMj4LIEl",2021-03-20 06:02:34,AFLxScore,563,Live but in beta. Posting expected scores for scoring shots in AFL games based on historical observations. No relation to AFLX. By @AFLLab. More details in link,Python enclosure,#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.07336259,0.88208777,0.04454963
1429054512686256139,2021-08-21 12:15:21,"afl, aflbluesgiants",en,0,Twitter for Android,http://twitter.com/download/android,"CALLAN WARD!!!

@GWSGIANTS Club Legend!!!!!!

#afl #aflbluesgiants https://t.co/BuhrLjpLQe",2011-06-28 15:39:26,Alex Williams,1609,"Australian actor who played Julian Assange, Kirk Pengilly, Paul Onions and a bunch of other people from the 80s. 
Podcast enthusiast. 
@GWSGiants Ambassador!","Sydney, NSW",#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.020764263,0.49387097,0.48536476
1429054366149877760,2021-08-21 12:14:46,,en,4,Twitter for iPhone,http://twitter.com/download/iphone,"RT @UptheBaggers: Harry McKay has won his first Coleman Medal at age 23, with 58 goals. He missed 3 games, played a few minutes of another…",2010-11-24 08:04:46,darcie,8590,@rogerfederer @carltonfc,ryan reynolds is a cunt,#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.038329784,0.5517704,0.40989986
1429054355311775745,2021-08-21 12:14:43,"AFLBluesGIANTS, NeverSurrender, BigBigSound, HereComeTheGIANTS",en,0,Twitter Web App,https://mobile.twitter.com,"That'll do it!! Yibidee yibida, that's all folks!! #AFLBluesGIANTS #NeverSurrender #BigBigSound #HereComeTheGIANTS",2010-12-21 10:10:08,Michael Shillito,1542,"Love my footy. GWS Giants cheer squad, local club volunteer & more. And that's just one part of my life.
Views are my own, and occasionally make sense.",Sydney Australia,#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.002605292,0.11663739,0.8807574
1429054293387071491,2021-08-21 12:14:28,,en,4,Twitter for Android,http://twitter.com/download/android,"RT @UptheBaggers: Harry McKay has won his first Coleman Medal at age 23, with 58 goals. He missed 3 games, played a few minutes of another…",2009-03-31 01:34:06,Jason H,690,"Music, AFL, #BoundByBlue","Melbourne, Australia",#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.038329784,0.5517704,0.40989986
1429054270268088328,2021-08-21 12:14:23,AFLBluesGiants,en,0,Twitter for iPhone,http://twitter.com/download/iphone,"Officials trying to figure out which pocket to put the plaque on.

#AFLBluesGiants https://t.co/D9ZRXuhhC3",2018-01-30 05:40:23,Caitl,416,"It’s netball gifs all the way down. Chronically ill, chronically obsessed with sportsball. She/her 🏳️‍🌈.","Melbourne, Victoria",#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.19573216,0.7707071,0.0335607
1429054268019855370,2021-08-21 12:14:22,,en,0,Twitter for iPhone,http://twitter.com/download/iphone,Can someone with a greater knowledge of footy than me please explain what value Jack Newnes brings to our side? Lik… https://t.co/aVaawLFA4h,2012-05-21 02:29:34,Tommy Casha,425,ABC Newcastle Sports Correspondent | Podcast: Having A Chat ⬇️,"Newcastle, New South Wales",#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.1820843,0.70762724,0.110288434
1429054238122921987,2021-08-21 12:14:15,AFLBluesGiants,en,0,TweetDeck,https://about.twitter.com/products/tweetdeck,"Oh well, at least it’s not as woeful as last week’s nightmare.

#AFLBluesGiants",2009-09-05 00:29:13,TalkingCarlton.com,4611,"Independent footy forum where you can talk Carlton 24 hours a day, 7 days a week! (Account managed by camel.)

Retweets aren't necessarily an endorsement.",The Internet,#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.47116068,0.44115627,0.08768305
1429054205956870150,2021-08-21 12:14:07,AFLBluesGiants,en,0,AFLxScore,https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels,"#AFLBluesGiants Q4 25:14 GWS GOAL (in play)
CWard 27.5m 64° xScore 3.48 (49%)
Score: CARL 68 - 87 GWS | xScore: 66.… https://t.co/tcYUnvMjq7",2021-03-20 06:02:34,AFLxScore,563,Live but in beta. Posting expected scores for scoring shots in AFL games based on historical observations. No relation to AFLX. By @AFLLab. More details in link,Python enclosure,#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.09202098,0.86713547,0.04084345
1429054204593655815,2021-08-21 12:14:07,AFLBluesGiants,en,0,Twitter for Android,http://twitter.com/download/android,Our next coach really needs to brush up on their tackling skills. Woeful @CarltonFC #AFLBluesGiants,2010-05-31 10:53:26,glaxxon,31,"Husband, Dad, Gamer, @CarltonFC, @Patriots","Melbourne, Australia",#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.08595413,0.44645602,0.46758983
1429054171467198465,2021-08-21 12:13:59,AFLBluesGiants,en,0,Twitter for iPhone,http://twitter.com/download/iphone,Nope. Never mind #AFLBluesGiants https://t.co/4MWrqyWqGj,2009-11-21 20:22:22,Jake B On Your Radio,2397,📻🎙3p-7p: @z1077 | 7p-12a: @Z100Portland • @961NOWSA • @1047WNOK • @iHeartRadio | @STLAFL 🏉,#MidwestFresh,#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.44633955,0.48889664,0.064763784
1429054148461297675,2021-08-21 12:13:54,AFLBluesGiants,en,0,Twitter for Android,http://twitter.com/download/android,"Taranto and Greene have 1.7 between them, plus a few that haven't scored #AFLBluesGiants",2021-08-10 03:55:58,PeacetimeHydra,0,,,#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.18232942,0.7648427,0.0528279
1429054124176265218,2021-08-21 12:13:48,,en,0,Twitter for iPhone,http://twitter.com/download/iphone,And a special Thankyou to levi casboult for 12 years..gave everything he had..enjoy the next chapter with your fami… https://t.co/9eXn1uvsxy,2014-01-13 10:33:15,RosaBaggers,145,blues tragic#footyaddict#footymum#carlton#blues#Aleague#soccer 🏈⚽️,,#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.0012973438,0.021689916,0.97701275
1429054119541493760,2021-08-21 12:13:47,AFLBluesGIANTS,en,0,Twitter for iPhone,http://twitter.com/download/iphone,What’s my with all the 50m penalties tonight? #AFLBluesGIANTS,2019-08-19 06:24:49,Paul M,77,"Tweeting all things GWS Giants, Chelsea FC, football and whatever else crosses my mind.","Sydney, New South Wales",#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.57792336,0.39765084,0.024425859
1429054112939733004,2021-08-21 12:13:45,"AFLBluesGIANTS, BigBigSound",en,1,Twitter for iPhone,http://twitter.com/download/iphone,"Get excited… we’re on our way back to the finals.

Q4 | Blues 68 GIANTS 87

#AFLBluesGIANTS #BigBigSound https://t.co/cL39La6IXn",2010-03-04 04:32:13,GWS GIANTS,57894,The official twitter account of the GIANTS' AFL and AFLW teams #NeverSurrender,GIANTS Stadium,#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.001379368,0.06834804,0.9302725
1429053868273324042,2021-08-21 12:12:47,"aflbluesgiants, boundbyblue",en,0,Twitter Web App,https://mobile.twitter.com,"Well done Fishy. 

#aflbluesgiants #boundbyblue",2008-09-29 08:49:20,Richard Behrens,15306,Event & generalist photographer and Web editor (Call Me!).  #Foodie #Wine #afl #BoundByBlue #ChangeTheDate Opinions all mine.,Unceded Ngunnawal land ,#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.0035304436,0.09901549,0.897454
1429053840112881674,2021-08-21 12:12:40,"UpTheBaggers, AFLBluesGiants",en,0,Twitter for iPhone,http://twitter.com/download/iphone,"Honey hasn’t kicked his two yet, are we still a chance?! #UpTheBaggers #AFLBluesGiants @CarltonFC",2009-11-21 20:22:22,Jake B On Your Radio,2397,📻🎙3p-7p: @z1077 | 7p-12a: @Z100Portland • @961NOWSA • @1047WNOK • @iHeartRadio | @STLAFL 🏉,#MidwestFresh,#AFLBluesGiants,2021-08-21 12:15:49.387583,Australia,0.070718154,0.8192684,0.11001345
