tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1429054673655267334,2021-08-21 12:15:59,AFLCatsDees,en,8,Twitter for iPhone,http://twitter.com/download/iphone,"RT @FOXFOOTY: WHAT A FINISH 😱

📝 REPORT: https://t.co/5dzlZEYrhV
🔢 STATS: https://t.co/fEArRFjMcr
#AFLCatsDees https://t.co/Di9tjdukK3",2012-04-02 14:07:16,luke condick,510,Collingwood ⚫️⚪️ Huge sports fan creator of @sportsresnews,,#AFLCatsDees,2021-08-21 12:15:49.387583,Australia,0.04683058,0.55853516,0.39463422
1429054668412362753,2021-08-21 12:15:58,"FootyOhWhatAFeeling, AFLCatsDees",en,57,Twitter for iPhone,http://twitter.com/download/iphone,"RT @AFL: MAX GAWN WINS MELBOURNE THE MINOR PREMIERSHIP AFTER THE SIREN!

#FootyOhWhatAFeeling | #AFLCatsDees https://t.co/uGE4TrMQrw",2013-06-26 10:09:28,osama,117,21|Sports fan #MVFC💙 #MUFC❤️ #Collingwood⚪️⚫️,"Melbourne, Victoria",#AFLCatsDees,2021-08-21 12:15:49.387583,Australia,0.0386146,0.8074466,0.15393881
1429054660657094661,2021-08-21 12:15:56,,en,0,Twitter for iPhone,http://twitter.com/download/iphone,I’ve just spent the last five minutes ugly crying. Melbourne that was sensational!! ❤️💙 I love this club more than… https://t.co/U0OV3VRSNH,2009-05-15 13:29:10,💧Kat Oxley💧,690,"if you are replying anti vax or general nutbag conspiracy theory rubbish, I will block you.",Melbourne,#AFLCatsDees,2021-08-21 12:15:49.387583,Australia,0.01382748,0.0210769,0.9650956
1429054659507875842,2021-08-21 12:15:56,"FootyOhWhatAFeeling, AFLCatsDees",en,57,Twitter for Android,http://twitter.com/download/android,"RT @AFL: MAX GAWN WINS MELBOURNE THE MINOR PREMIERSHIP AFTER THE SIREN!

#FootyOhWhatAFeeling | #AFLCatsDees https://t.co/uGE4TrMQrw",2009-07-31 05:07:18,Johnny 🤙,188,A man of culture.,,#AFLCatsDees,2021-08-21 12:15:49.387583,Australia,0.0386146,0.8074466,0.15393881
1429054651819720708,2021-08-21 12:15:54,AFLCatsDees,en,0,Twitter for iPhone,http://twitter.com/download/iphone,Bring on the Chirs Scott presser! #AFLCatsDees 😂 https://t.co/1SbPbpqa1I,2013-06-11 04:02:33,Nick,62,"I used to be indecisive, but now I’m not so sure!","Richmond, Melbourne",#AFLCatsDees,2021-08-21 12:15:49.387583,Australia,0.015826412,0.54140246,0.4427711
1429054646048362496,2021-08-21 12:15:52,AFLCatsDees,en,2,Twitter for iPhone,http://twitter.com/download/iphone,RT @HawkTalkPod: Yeah ok I'll take a draw over what just happened to the Cats. #AFLCatsDees,2014-03-08 04:10:48,Peter Stathopoulos,291,,,#AFLCatsDees,2021-08-21 12:15:49.387583,Australia,0.21818289,0.6853732,0.09644396
1429054640306356235,2021-08-21 12:15:51,AFLCatsDees,en,0,Twitter for iPhone,http://twitter.com/download/iphone,"17-1-4 and…

MINOR PREMIERS BABY!!!!!!!!!!

❤️💙❤️💙❤️💙

#AFLCatsDees https://t.co/4mW8NljRTA https://t.co/LrsVCyQlL6",2009-04-27 14:39:27,Luke P Gavin,1447,23 year member @Melbournefc | @storm | @packers | @Yankees | Just because I disagree with you it doesn’t mean I don’t like you. *Views my own*,"Melbourne, Victoria",#AFLCatsDees,2021-08-21 12:15:49.387583,Australia,0.008274973,0.16045913,0.83126587
1429054639685595136,2021-08-21 12:15:51,"FootyOhWhatAFeeling, AFLCatsDees",en,57,Twitter for iPhone,http://twitter.com/download/iphone,"RT @AFL: MAX GAWN WINS MELBOURNE THE MINOR PREMIERSHIP AFTER THE SIREN!

#FootyOhWhatAFeeling | #AFLCatsDees https://t.co/uGE4TrMQrw",2015-11-09 12:16:32,Dane Triggs,32,aussie | 28 | horrible gamer,"Melbourne, Victoria",#AFLCatsDees,2021-08-21 12:15:49.387583,Australia,0.0386146,0.8074466,0.15393881
1429054638783819778,2021-08-21 12:15:51,"FiredUp, AFLCatsDees",en,43,Twitter for iPad,http://twitter.com/#!/download/ipad,"RT @melbournefc: FT. 

THE DEES COME FROM BEHIND. 

#FiredUp | #AFLCatsDees https://t.co/zibDEsgmJn",2016-06-21 03:10:59,Diane Jean Gregory,271,Retired Outlandermaniac Scottish convert #takemebacktoScotland #SamHeughanNo1fan #MelbourneFootballClub #Demons #DanMacPhersonNo1fan,Tooradin Australia,#AFLCatsDees,2021-08-21 12:15:49.387583,Australia,0.18461975,0.7570556,0.058324702
1429054638255345673,2021-08-21 12:15:50,AFLCatsDees,en,0,Twitter for iPhone,http://twitter.com/download/iphone,"I mean sure, I was confident all game but… #AFLCatsDees",2012-01-26 01:48:30,Titus O'Reily,228667,"Titus is known as ‘the voice of Australia’s working class’, despite the fact he long lost touch with them and in the main, reality.",Melbourne,#AFLCatsDees,2021-08-21 12:15:49.387583,Australia,0.045110486,0.61390877,0.34098077
1429054634904023046,2021-08-21 12:15:50,"FootyOhWhatAFeeling, AFLCatsDees",en,57,Twitter for  iPhone,http://twitter.com,"RT @AFL: MAX GAWN WINS MELBOURNE THE MINOR PREMIERSHIP AFTER THE SIREN!

#FootyOhWhatAFeeling | #AFLCatsDees https://t.co/uGE4TrMQrw",2013-12-16 19:48:54,Twitter Sports,101871,What’s Happening?!,Australia,#AFLCatsDees,2021-08-21 12:15:49.387583,Australia,0.0386146,0.8074466,0.15393881
1429054631515021336,2021-08-21 12:15:49,"AFLCatsDees, AFLLionsEagles",en,0,Twitter for iPhone,http://twitter.com/download/iphone,#AFLCatsDees and #AFLLionsEagles bullshit umpire calls in the last moments with huge ramifications for finals. Umpi… https://t.co/x8ikmU7KBq,2012-05-16 11:09:02,Helen hath no fury,96,Im just here for the politics and the footy (AFL),"Canberra, Australian Capital Territory",#AFLCatsDees,2021-08-21 12:15:49.387583,Australia,0.760097,0.22572336,0.014179532
1429054625735274496,2021-08-21 12:15:47,,en,0,Twitter for Android,http://twitter.com/download/android,Im a fuckin cats supporter and i cant stand that run the clock down footy. 2point lead trying to run clock down for… https://t.co/0Ek97WRJ53,2021-05-26 06:38:18,Jj,9,,"Melbourne, Victoria",#AFLCatsDees,2021-08-21 12:15:49.387583,Australia,0.9646783,0.031393472,0.0039281812
