tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1431591310012522499,2021-08-28 12:15:40,AFLDeesLions,en,2,Twitter for Android,http://twitter.com/download/android,RT @NicNegrepontis: The Demons have conceded 90 points once this year and that was to Adelaide. Brick wall. #AFLDeesLions,2011-01-14 00:14:30,Megabattimus 🏳️‍⚧️,519,|26|bi/pan|non-binary trans woman|democratic socialist|aspiring writer|they/them|  https://t.co/v5dCePIURc,"Melbourne, Victoria, Australia",#AFLDeesLions,2021-08-28 12:15:30.414573,Australia,0.50424933,0.4639844,0.031766247
1431591286910324736,2021-08-28 12:15:35,"GiveEmHell, AFLDeesLions",en,32,Twitter for iPhone,http://twitter.com/download/iphone,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2009-11-24 12:00:02,Linda White ✊,4663,"former elected union official, ALP back roomer, member of various boards including @acmi & chair of @chifleyresearch",Melbourne Australia,#AFLDeesLions,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431591259655733257,2021-08-28 12:15:28,,en,2,Twitter Web App,https://mobile.twitter.com,"RT @ClareAliceMurph: Almost impossible to fault this force of a team. Sparrow, Trac, Clarry, Fritsch outstanding as the Dees go *straight t…",2016-04-02 07:51:04,JohnDJ59.Black Flag.,712,"Fall on the left side of thinking,🏴‍☠️ care about animal welfare,🐕🐈 love RockNRoll. 🎸TheRollingStones, TheWho, EltonJohn, AC/DC, FM, JM, U2, Pink.🦋","Warragul, Victoria",#AFLDeesLions,2021-08-28 12:15:30.414573,Australia,0.036014315,0.27926755,0.68471813
1431591258959466497,2021-08-28 12:15:28,"GiveEmHell, AFLDeesLions",en,32,Twitter Web App,https://mobile.twitter.com,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2011-10-19 05:41:16,Amanda Bresnan 🏳️‍🌈 🇦🇴,2203,"Former ACT Greens MLA, aspiring Rugby League Commissioner and/or Bollywood star. All Tweets my own #Changethedate","Canberra, ACT",#AFLDeesLions,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431591257109766149,2021-08-28 12:15:28,"AFLFinals, AFLDeesLions",en,0,Twitter for Android,http://twitter.com/download/android,"KEEP YOUR EYE ON THE RED AND THE BLUE! 🔴🔵
#AFLFinals #AFLDeesLions",2018-08-31 03:10:44,Ronan The Accuser 🦇🤓🇦🇺,1719,"Talk to me about anything Comics related and more
to Comics, Graphic novels, Movies, T.v shows and Video games 
Dc comics. Marvel. Image","Melbourne, Australia ",#AFLDeesLions,2021-08-28 12:15:30.414573,Australia,0.016493099,0.5953335,0.3881733
1431591256694542337,2021-08-28 12:15:27,"AFLDeesLions, afl",en,0,Twitter for Android,http://twitter.com/download/android,2 more Melbourne!! #AFLDeesLions #afl,2009-06-22 05:25:05,Scott Chapman,54,,,#AFLDeesLions,2021-08-28 12:15:30.414573,Australia,0.008571947,0.38266465,0.60876334
1431591255276806145,2021-08-28 12:15:27,,en,3,Twitter for iPhone,http://twitter.com/download/iphone,"RT @The_DeeBrief: PRELIM LOCKED 🔒 

Heaps of mongrel bastard and class tonight. 

Scoreboard flattered Brisbane big time. 

Soak in every m…",2011-06-25 02:43:00,Scrub64,182,"Edmonton Oilers. Edmonton Elks. Melbourne Demons. WARNING: If you’re a fLames fan, I’ll probably hurt your feelings. #LetsGoOilers #ElksCharge #GiveEmHell",,#AFLDeesLions,2021-08-28 12:15:30.414573,Australia,0.08640577,0.47422138,0.4393729
1431591236557672458,2021-08-28 12:15:23,"GiveEmHell, AFLDeesLions",en,32,Twitter Web App,https://mobile.twitter.com,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2020-05-23 09:24:01,Random FNaF Fan,144,Random fan of FNaF and have been a fan for over five years! :),,#AFLDeesLions,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431591210192236547,2021-08-28 12:15:16,AFLDeesLions,und,0,Twitter for iPhone,http://twitter.com/download/iphone,@RoryOSullivan94 #AFLDeesLions https://t.co/4vzHc1nvmJ,2015-02-05 14:18:09,Sue Hogan,456,"nursing leadership and management, striving to be better than yesterday - team work its all part of inspiring others. Lets do it! #GoPies","Melbourne, Brisbane, WA, ACT",#AFLDeesLions,2021-08-28 12:15:30.414573,Australia,0.056982808,0.8936853,0.049331937
1431591191850618887,2021-08-28 12:15:12,,en,0,TweetDeck,https://about.twitter.com/products/tweetdeck,Ouch. That properly stings. Melbourne got us in the regular season. They got us now in very similar fashion. Fagan… https://t.co/zAt4f9dtSl,2013-07-06 23:09:54,Davis Harrigan🦁,1677,@Eastern_FNL 📸photog/media-@CISM_HQ Wuhan 2019-@Apple AHA-F/lance 📸-@HeavymagAU-cricket/sport tragic-@brisbanelions man-@BHRDCA ump-model railway nerd,"Melbourne, Australia",#AFLDeesLions,2021-08-28 12:15:30.414573,Australia,0.77493036,0.20557357,0.019496085
