tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1431591313212796930,2021-08-28 12:15:41,"AFLFinals, AFL, AFLDemonsLions, GoDees, GiveEmHell",en,0,Twitter for iPhone,http://twitter.com/download/iphone,Rhys Mathieson…..total flog with very little talent. #AFLFinals #AFL #AFLDemonsLions #GoDees #GiveEmHell,2010-01-14 21:07:56,Paul Walsh,279,"F1, AFL, Tennis etc etc","Melbourne, Australia",#AFLFinals,2021-08-28 12:15:30.414573,Australia,0.7642969,0.20301801,0.032685127
1431591293835038727,2021-08-28 12:15:36,AFLFinals,en,6,Twitter for Android,http://twitter.com/download/android,"RT @AFL: Prelim-bound 😈

Match report: https://t.co/vwnX2hmtty

#AFLFinals https://t.co/FMtxWB6zZ9",2015-12-13 20:26:44,Jacob Kalevski,572,🇲🇰🇦🇺 | MUFC 🔴⚪⚫ | WB ❤🤍💙,,#AFLFinals,2021-08-28 12:15:30.414573,Australia,0.07414864,0.87769127,0.04816011
1431591277150171140,2021-08-28 12:15:32,AFLFinals,en,6,Twitter for iPad,http://twitter.com/#!/download/ipad,"RT @AFL: Prelim-bound 😈

Match report: https://t.co/vwnX2hmtty

#AFLFinals https://t.co/FMtxWB6zZ9",2010-06-24 08:56:38,Caroline 'Caz' Cheng,495,,Boonwurrung Country,#AFLFinals,2021-08-28 12:15:30.414573,Australia,0.07414864,0.87769127,0.04816011
1431591275396956170,2021-08-28 12:15:32,AFLFinals,en,0,Twitter for iPhone,http://twitter.com/download/iphone,Good on ya @melbournefc hope u go all the way #AFLFinals,2021-07-07 00:27:56,Ghost Of Subiaco Oval,22,Carlton Mid / Chicken Treat Van / Long & Strong / “House of Pain”,,#AFLFinals,2021-08-28 12:15:30.414573,Australia,0.0015989399,0.040378302,0.9580227
1431591261123735566,2021-08-28 12:15:28,,en,3,Twitter for Android,http://twitter.com/download/android,"RT @MelbourneFooty: One victory away from a Grand Final berth!

Melbourne send themselves straight through to a preliminary final for the f…",2011-07-27 16:22:22,Trenton Tolmer-Amos,1344,"In search of a kinder world.  Journeyman, Non-Violent Eater and Interplanetary Ambassador.  #LiveKindly   #Angels #Demons and #Hammers",Earth,#AFLFinals,2021-08-28 12:15:30.414573,Australia,0.011662965,0.5775375,0.41079953
1431591259655733257,2021-08-28 12:15:28,,en,2,Twitter Web App,https://mobile.twitter.com,"RT @ClareAliceMurph: Almost impossible to fault this force of a team. Sparrow, Trac, Clarry, Fritsch outstanding as the Dees go *straight t…",2016-04-02 07:51:04,JohnDJ59.Black Flag.,712,"Fall on the left side of thinking,🏴‍☠️ care about animal welfare,🐕🐈 love RockNRoll. 🎸TheRollingStones, TheWho, EltonJohn, AC/DC, FM, JM, U2, Pink.🦋","Warragul, Victoria",#AFLFinals,2021-08-28 12:15:30.414573,Australia,0.036014315,0.27926755,0.68471813
1431591257109766149,2021-08-28 12:15:28,"AFLFinals, AFLDeesLions",en,0,Twitter for Android,http://twitter.com/download/android,"KEEP YOUR EYE ON THE RED AND THE BLUE! 🔴🔵
#AFLFinals #AFLDeesLions",2018-08-31 03:10:44,Ronan The Accuser 🦇🤓🇦🇺,1719,"Talk to me about anything Comics related and more
to Comics, Graphic novels, Movies, T.v shows and Video games 
Dc comics. Marvel. Image","Melbourne, Australia ",#AFLFinals,2021-08-28 12:15:30.414573,Australia,0.016493099,0.5953335,0.3881733
1431591252693291010,2021-08-28 12:15:26,"AFLFinals, GiveEmHell",en,3,Twitter for iPhone,http://twitter.com/download/iphone,RT @katiemelb: Guess I’ll be playing the @melbournefc song on my radio show again tomorrow morning #AFLFinals #GiveEmHell 😀😀😀😀❤️💙,2014-07-05 08:35:29,Miss Chatelaine JOY,595,"Folk, roots, acoustic and pop music on Sundays 9-11am AEST on Australia's LGBTIQ radio station, @JOY949, hosted by @katiemelb","Melbourne, Australia",#AFLFinals,2021-08-28 12:15:30.414573,Australia,0.0014178534,0.060602553,0.9379795
1431591246015844353,2021-08-28 12:15:25,AFLFinals,en,1,Twitter for iPhone,http://twitter.com/download/iphone,RT @Dave_Middleton: Mood #AFLFinals @brisbanelions https://t.co/4bDRYbi7iC,2012-09-11 06:16:10,Geoff Koop,825,Head of Media @emmausstleos | Former @CBRBrave media | Former Sports Reporter @2CC| Photo: Mandi Webb's snapchat. Views are my own.,"Melbourne, Victoria",#AFLFinals,2021-08-28 12:15:30.414573,Australia,0.08717941,0.86254954,0.050271153
1431591218362814470,2021-08-28 12:15:18,"AFLFinals, AFL",en,0,TweetDeck,https://about.twitter.com/products/tweetdeck,"The #AFLFinals picture after the Dees go through to the prelims

#AFL https://t.co/SdZnUZNT9Y",2009-07-02 06:37:57,Moth,2290,Alive in the age of outrage and outrageous behaviour 🔥 (he/him),Kulin nations,#AFLFinals,2021-08-28 12:15:30.414573,Australia,0.043388143,0.9130528,0.04355896
