tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1426516755044732934,2021-08-14 12:11:12,,en,0,Twitter Web App,https://mobile.twitter.com,Both Carlton and Collingwood lost by a combined 190 points. Not good if you're a traditionalist Carlton &amp; Collingwo… https://t.co/P7HD9hzMsH,2020-03-12 09:26:05,Josh Ward,60,"La Trobe Media and Comms Student; Intern at the EFNL and NFNL; Supporter of many teams, including Carlton 💙🤍; love any sport, or comics",,#AFLPowerBlues,2021-08-14 12:15:39.575679,Australia,0.9132543,0.07897392,0.00777182
1426516631782522885,2021-08-14 12:10:43,AFLPowerBlues,en,6,Twitter for Android,http://twitter.com/download/android,"RT @CarltonFC: Full time. 

#AFLPowerBlues https://t.co/tJTUXDBQaw",2009-04-17 07:41:51,Sri S (ᬧᬸᬦ᭄᭞ᬲᬶᬦ᭄᭞ᬬᬦ᭄᭞),247,"🇮🇩 +62 ᬩᬮᬶ 🏝 🇺🇸 🔙 🔛 🇩🇪 🔛 🇰🇷 🔜 🇻🇳 🔜 🇹🇭 🔜 🇲🇲
RTs and likes ≠ endorsements","Bali, Indonesia",#AFLPowerBlues,2021-08-14 12:15:39.575679,Australia,0.043131918,0.87277526,0.08409276
1426516576983912449,2021-08-14 12:10:30,"weareportadelaide, AFLPowerBlues",en,37,Twitter for Android,http://twitter.com/download/android,"RT @PAFC: FT | Huge win 💪 

#weareportadelaide 
#AFLPowerBlues https://t.co/t4fj1lebvs",2009-04-17 07:41:51,Sri S (ᬧᬸᬦ᭄᭞ᬲᬶᬦ᭄᭞ᬬᬦ᭄᭞),247,"🇮🇩 +62 ᬩᬮᬶ 🏝 🇺🇸 🔙 🔛 🇩🇪 🔛 🇰🇷 🔜 🇻🇳 🔜 🇹🇭 🔜 🇲🇲
RTs and likes ≠ endorsements","Bali, Indonesia",#AFLPowerBlues,2021-08-14 12:15:39.575679,Australia,0.0026877024,0.1164985,0.8808138
1426516110879334405,2021-08-14 12:08:38,,en,18,Twitter for iPhone,http://twitter.com/download/iphone,RT @BenCameron23: Scott Camporeale very strong on Carlton: “that’s why they are where they are. Accepting performances like that - and I’m…,2020-10-24 13:39:49,VG - Dusty!!!!!!!!!!!!,49,Family. Old Students CC. RFC 🐯🐯🐯. Dusty..Dusty...Dusty..........,Shepparton ,#AFLPowerBlues,2021-08-14 12:15:39.575679,Australia,0.009054241,0.26345345,0.72749233
1426515863486689282,2021-08-14 12:07:39,AFLPowerBlues,en,8,Twitter for iPhone,http://twitter.com/download/iphone,RT @patrickak639: Score was 125-7 from this moment on #AFLPowerBlues https://t.co/wAWMf4NEAL,2015-01-07 02:03:51,Paul Tam,71,instagram: instatam_14 | snapchat: paul_gooner | xboxlive: M4GP1,"Adelaide, South Australia",#AFLPowerBlues,2021-08-14 12:15:39.575679,Australia,0.023417462,0.91682506,0.059757505
1426515128770461700,2021-08-14 12:04:44,"weareportadelaide, AFLPowerBlues",en,37,Twitter for Android,http://twitter.com/download/android,"RT @PAFC: FT | Huge win 💪 

#weareportadelaide 
#AFLPowerBlues https://t.co/t4fj1lebvs",2015-03-25 06:07:04,#IndomitableAZHell,499,"Born/Raised in SAC, living in PHX; Tower Bridge Battalion member; Newest member of @StateRepublic12
(Views/Opinions are my own)","Phoenix, AZ",#AFLPowerBlues,2021-08-14 12:15:39.575679,Australia,0.0026877024,0.1164985,0.8808138
1426513099981422599,2021-08-14 11:56:41,"AFLPowerBlues, AFLLionsPies",en,3,Twitter for iPhone,http://twitter.com/download/iphone,RT @M_1tch: Tweeting this before Collingwood get beaten by Brisbane by 100 points #AFLPowerBlues #AFLLionsPies https://t.co/ibbYazAMdD,2009-10-22 05:31:27,💧live #proudsewerrat 1st pfizer 💉 done,175,"I like anime, sports, politics and gaming, former halo player and speedrunner, currently addicted to league of legends",Victoria Australia,#AFLPowerBlues,2021-08-14 12:15:39.575679,Australia,0.23920502,0.7001182,0.060676742
1426512692685070336,2021-08-14 11:55:03,,en,0,Twitter for Android,http://twitter.com/download/android,"Always took the piss out of the ""Shinboner"" spirit at North Melbourne. As a Carlton supporter, at least North have… https://t.co/TEwbPFyNwi",2021-07-24 10:59:04,Voice of Reason,1,"Seated in the outer, interested onlooker.",,#AFLPowerBlues,2021-08-14 12:15:39.575679,Australia,0.8475769,0.13885634,0.013566708
1426511907549114376,2021-08-14 11:51:56,"Blues, AFLPowerBlues",en,0,Twitter for Android,http://twitter.com/download/android,"I wish I didn't care about my footy team. I'm feeling broken tonight.
#Blues #AFLPowerBlues",2011-09-09 08:32:31,kathie stan,59,Personal Trainer. Store Manager at 2XU. Avid Crossfitter and all things fitness.,"Ocean Grove, Victoria",#AFLPowerBlues,2021-08-14 12:15:39.575679,Australia,0.9326545,0.059140936,0.008204635
1426511743396716551,2021-08-14 11:51:17,"AFLLionsPies, AFLPowerBlues",en,0,Echofon,http://www.echofon.com/,Dangerous tackle by Zorko more intent than Saad today #AFLLionsPies #AFLPowerBlues,2009-12-20 14:26:08,Andrew Jakowenko,558,"Jako no 'c'
Carlton, Liverpool, Leyton Orient, Melbourne Victory. No one takes Twitter seriously anyway do they?",Perth,#AFLPowerBlues,2021-08-14 12:15:39.575679,Australia,0.70830953,0.26352856,0.028161952
