tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1431591449829777408,2021-08-28 12:16:13,ARSMCI,en,0,Twitter for iPhone,http://twitter.com/download/iphone,Me right now #ARSMCI https://t.co/dpYNXQUCAb,2012-01-12 16:52:32,Hayley'Jane,405,26. Sutton United Women ‘14 💛⚽️@Bfree_sports,,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.09019786,0.8401869,0.06961532
1431591443131469825,2021-08-28 12:16:12,"ARSMCI, Arsenal",en,0,Twitter for iPhone,http://twitter.com/download/iphone,"I don’t even know what to say tbh. I personally wild of started Lokonga, and Tierney as a CB and Tavares as lwb #ARSMCI #Arsenal",2014-02-12 11:37:05,GC 🔴🇱🇨,156,Arsenal fan • Grassroots football coach• @theteamtaIk,,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.33672947,0.6015493,0.06172125
1431591441889910794,2021-08-28 12:16:12,"Arteta, Arsenal, ARSMCI, soccertweet",en,0,Twitter for iPhone,http://twitter.com/download/iphone,I think #Arteta may know his time is up…#Arsenal #ARSMCI #soccertweet,2010-12-13 22:16:42,TheGreatKampsini,124,#utility #dadlife #gogators,Dallas,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.12594339,0.7831124,0.09094413
1431591433350287364,2021-08-28 12:16:10,ARSMCI,en,0,Twitter for Android,http://twitter.com/download/android,OMG! Was so excited for #ARSMCI but this is pointless - 42min in and I think its time to watch Blacklist rather 🤣,2011-02-26 15:36:44,Ian Brink,47,,,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.40079585,0.33025965,0.26894453
1431591430917525504,2021-08-28 12:16:09,"ARSMCI, MCIARS",en,0,Twitter for Android,http://twitter.com/download/android,"Why blame reff again, if your club 2-0 before xhaka sent off #ARSMCI #MCIARS",2021-03-09 11:00:56,KAA⭐⭐ 🇮🇹(CFC💙),1358,"/Gender: Female/ @chelseafc fans / فخورة بكوني مسلمة💙/
/Only this my account twitter/",,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.57248324,0.3967275,0.030789277
1431591430317805574,2021-08-28 12:16:09,ARSMCI,en,0,Twitter for iPhone,http://twitter.com/download/iphone,"E fit reach 6 oooo
#ARSMCI",2020-05-04 20:59:14,Hilary Ogugua,117,SUIT DESIGNER IG- Emperorhillz,"Accra, Ghana",#ARSMCI,2021-08-28 12:15:30.414573,United States,0.060120918,0.79014325,0.14973576
1431591422268936193,2021-08-28 12:16:07,"MCIARS, ARSMCI",en,19,Twitter for iPhone,http://twitter.com/download/iphone,RT @zuwerah_: ManCity to Arsenal rynow 😭🤣🤣 #MCIARS #ARSMCI https://t.co/BljroiFRDq,2021-06-13 15:14:16,SteVen 🪐🥇,49,Live!! |find happiness by all means｜Manchester united ardent fan ❤️.| YOHA ⚓️|not here to make noise💨 | Great Ife 💯| Unibadan M.Ed | Breast is life 🥰,Where money dey ,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.25694138,0.56518507,0.17787352
1431591421442760705,2021-08-28 12:16:07,ARSMCI,en,0,Twitter for iPad,http://twitter.com/#!/download/ipad,This is just a delight #ARSMCI,2010-09-23 14:45:28,JK,221,"Gambling, Glastonbury, Super Rugby, Spurs and horse racing",,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.004560764,0.026523177,0.96891606
1431591419693654016,2021-08-28 12:16:06,"AFC, ARSMCI",en,0,Twitter for Android,http://twitter.com/download/android,This is an all time low performance from @Arsenal Actually dont want to watch it. #AFC #ARSMCI,2020-05-06 15:39:17,Meiks87,288,"Gaming streamer, Twitch Affiliate, Arsenal fan.  MMA, BOXING, FOOTBALL.

https://t.co/37LSjFrpba","England, United Kingdom",#ARSMCI,2021-08-28 12:15:30.414573,United States,0.958824,0.03702019,0.004155855
1431591418297032705,2021-08-28 12:16:06,"xhaka, ManchesterCity, cityarsenal, asroma, ARSMCI, mciars",it,0,Twitter for Android,http://twitter.com/download/android,"Eh granit come dice una saggia  "" Te la piji nder culo amico mio "" 
#xhaka #ManchesterCity #cityarsenal #asroma #ARSMCI #mciars",2020-09-30 17:16:32,Myfavouritefadedfantasy,17,,,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.10988073,0.82004464,0.0700746
1431591410663366666,2021-08-28 12:16:04,"COYG, ARSMCI",en,0,Twitter for iPhone,http://twitter.com/download/iphone,I feel pity for Arsenal May God help them this season #COYG #ARSMCI,2016-06-30 12:11:14,𝕆𝕞𝕠𝕙,1907,R.I.P MOM ……..OAU Alumnus 👨‍🎓 Serial Entrepreneur .....Views/Opinions are mine||MUFC 💉 🧣,Safe Place ,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.76594675,0.20236555,0.031687684
1431591409958653956,2021-08-28 12:16:04,ARSMCI,en,0,Twitter for iPhone,http://twitter.com/download/iphone,How am watching the game #ARSMCI https://t.co/AG0EtlHa5C,2012-08-12 16:18:35,THE ALARM 🇳🇦,3045,Independent HipHop Artist 🇳🇦| The Alarm Mixtape N$130 E-Wallet to 0814878783| free delivery in WHK | Corona Freestyle OutNow Link in bio |,"Namibia, Windhoek",#ARSMCI,2021-08-28 12:15:30.414573,United States,0.05046923,0.87973434,0.06979644
1431591397765877761,2021-08-28 12:16:01,,en,0,Twitter for Android,http://twitter.com/download/android,Can i get a transfer as a fan just like any football player does? Im soo over Arsenal. F**k u arteta your ruining m… https://t.co/aE39V8wu7A,2019-06-17 09:35:06,Rami,0,,,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.9652089,0.03101568,0.0037754548
1431591382943080448,2021-08-28 12:15:58,,en,0,Twitter Web App,https://mobile.twitter.com,"With a negative net spend, we got top 4 for six seasons (07-13) and competed for title almost every season. I hope… https://t.co/JmqewGuvpb",2011-03-08 15:56:37,Dr. Rohit Prabhudesai,50,"PhD in Strategic Management (BITS Pilani) | Professor - Goa Institute of Management | Cricket/football article writing, stat mining in free time |  Arsenal Fan",Goa,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.116365485,0.593879,0.28975552
1431591371962392576,2021-08-28 12:15:55,"PL, ManCity, ManchesterCity, ARSMCI, Arsenal",en,0,Twitter Web App,https://mobile.twitter.com,"City 3 - 0 Arsenal
in 42 mins
Arsenal 1 red card

Who wants to bet for 8-0 😂

#PL #ManCity #ManchesterCity #ARSMCI #Arsenal",2021-06-29 17:04:16,cruel potato,13,"Devils roll the dice 🎲
Angels roll their eyes 🙄
It's a cruel summer ❤️

10 YEARS OF LITTLE MIX",he/him,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.10621347,0.7772386,0.116547935
1431591361124442115,2021-08-28 12:15:52,"ManCity, ARSMCI",fr,0,Twitter for Android,http://twitter.com/download/android,"Arsenal c'est comme Bordeaux🇫🇷 tchieee quelle Merde d'équipe
#ManCity #ARSMCI",2019-03-28 20:35:25,Abdallah Cherif,350,Allah est notre protecteur! qu'il nous aide à réaliser nos rêves🙏🏻,,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.083173305,0.8087496,0.10807707
1431591350835703808,2021-08-28 12:15:50,"ArtetaOut, ARSMCI, PremierLeague",en,0,Twitter Web App,https://mobile.twitter.com,"@m8arteta Need help with packing the bags?

#ArtetaOut  #ARSMCI #PremierLeague",2011-09-16 07:55:09,Vaibhav Jere,31,"21
Blogger
Arsenal fan ❤️⚽️
BMCC 🏫
IGTCian
Insta- vaibhav_jere","Pune, India",#ARSMCI,2021-08-28 12:15:30.414573,United States,0.14010933,0.8025607,0.057330064
1431591349627801600,2021-08-28 12:15:50,,en,1,Twitter for iPhone,http://twitter.com/download/iphone,"RT @OleleSalvador: At this stage Amazon may have to change Arsenal’s All or Nothing documentary to “All for Nothing.”

Because clearly thes…",2012-02-01 00:08:46,Mr. Jakpasu,2002,Husband of a Beautiful Woman.,,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.29067507,0.65805984,0.05126512
1431591323698618369,2021-08-28 12:15:43,ARSMCI,en,0,Twitter for iPhone,http://twitter.com/download/iphone,Yo press start and the end match #ARSMCI,2012-03-07 13:19:01,abzee🧃,633,𝟮3 | 🇧🇩 & yes I am an @arsenal supporter😪,bham,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.04311024,0.88269395,0.074195705
1431591311392612355,2021-08-28 12:15:40,ARSMCI,en,0,Twitter for iPhone,http://twitter.com/download/iphone,Arsenal are bobbins #ARSMCI,2020-10-24 22:27:40,Chris,28,,,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.5186296,0.41923076,0.06213965
1431591310146801673,2021-08-28 12:15:40,"Arsenal, ARSMCI, relegation",en,0,Twitter for Android,http://twitter.com/download/android,@premierleague Let's all laugh at #Arsenal #ARSMCI #relegation,2013-12-30 19:15:01,Simon Trimnell,660,"father ,West Ham fan, local saffron walden born boy.LabourParty  member most election defeats in saffron Walden history
#dontbeshyvoteforsi",saffron Walden ,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.12219932,0.48007995,0.39772078
1431591306837512195,2021-08-28 12:15:39,ARSMCI,de,0,Twitter for Android,http://twitter.com/download/android,Flachpass vom TW zu Torres zur Mittellinie der dreht sich einfach um und läuft übers ganze Spielfeld ohne angegriffen zu werden wtf #ARSMCI,2019-10-15 08:18:13,Sheikh Mad!,17,Hoes callin me their BabyDaddy,Aus der Hölle,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.2050693,0.74273276,0.05219788
1431591302949388292,2021-08-28 12:15:38,"arsenal, PremierLeague, ARSMCI",en,0,Twitter for iPhone,http://twitter.com/download/iphone,Fuck it. Let’s get relegated @Arsenal. Full reset. #arsenal #PremierLeague #ARSMCI,2016-04-19 23:07:40,Hot Takes Daily,48,"Just a couple of assholes giving our opinions on whatever we want. Feel free to disagree, that's what makes America great.",United States,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.8881821,0.09365525,0.018162725
1431591284683255811,2021-08-28 12:15:34,ARSMCI,en,0,Twitter for iPhone,http://twitter.com/download/iphone,"Arsenal 😂😂😂😂 
They look like a team ready for relegation 

#ARSMCI",2011-02-09 04:44:39,Chad Castle,1460,,Earth ,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.418396,0.44453174,0.1370722
1431591275527032833,2021-08-28 12:15:32,ARSMCI,en,0,Twitter for iPhone,http://twitter.com/download/iphone,Even if na BDSM how will you let them flog you like this😭😭 #ARSMCI,2020-06-15 05:28:16,Gwynn💤,3345,Deserving and Worth it.❤️,Manchester United,#ARSMCI,2021-08-28 12:15:30.414573,United States,0.8966961,0.0971791,0.0061248927
