tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1431591321509134345,2021-08-28 12:15:43,"GiveEmHell, AFL, AFLDeesLions",en,0,Twitter for iPhone,http://twitter.com/download/iphone,"Clayton Oliver. All Australian piss taker.
#GiveEmHell #AFL #AFLDeesLions",2014-01-24 11:54:25,EJ,513,"Lover of most sports, have a keen interest in the Australian share market & part own a couple of horses","Melbourne, Australia",#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.78524077,0.19340606,0.021353088
1431591313212796930,2021-08-28 12:15:41,"AFLFinals, AFL, AFLDemonsLions, GoDees, GiveEmHell",en,0,Twitter for iPhone,http://twitter.com/download/iphone,Rhys Mathieson…..total flog with very little talent. #AFLFinals #AFL #AFLDemonsLions #GoDees #GiveEmHell,2010-01-14 21:07:56,Paul Walsh,279,"F1, AFL, Tennis etc etc","Melbourne, Australia",#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.7642969,0.20301801,0.032685127
1431591286910324736,2021-08-28 12:15:35,"GiveEmHell, AFLDeesLions",en,32,Twitter for iPhone,http://twitter.com/download/iphone,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2009-11-24 12:00:02,Linda White ✊,4663,"former elected union official, ALP back roomer, member of various boards including @acmi & chair of @chifleyresearch",Melbourne Australia,#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431591258959466497,2021-08-28 12:15:28,"GiveEmHell, AFLDeesLions",en,32,Twitter Web App,https://mobile.twitter.com,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2011-10-19 05:41:16,Amanda Bresnan 🏳️‍🌈 🇦🇴,2203,"Former ACT Greens MLA, aspiring Rugby League Commissioner and/or Bollywood star. All Tweets my own #Changethedate","Canberra, ACT",#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431591252693291010,2021-08-28 12:15:26,"AFLFinals, GiveEmHell",en,3,Twitter for iPhone,http://twitter.com/download/iphone,RT @katiemelb: Guess I’ll be playing the @melbournefc song on my radio show again tomorrow morning #AFLFinals #GiveEmHell 😀😀😀😀❤️💙,2014-07-05 08:35:29,Miss Chatelaine JOY,595,"Folk, roots, acoustic and pop music on Sundays 9-11am AEST on Australia's LGBTIQ radio station, @JOY949, hosted by @katiemelb","Melbourne, Australia",#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.0014178534,0.060602553,0.9379795
1431591236557672458,2021-08-28 12:15:23,"GiveEmHell, AFLDeesLions",en,32,Twitter Web App,https://mobile.twitter.com,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2020-05-23 09:24:01,Random FNaF Fan,144,Random fan of FNaF and have been a fan for over five years! :),,#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431591182115631104,2021-08-28 12:15:10,"GoDees, FiredUp, GiveEmHell",en,2,Twitter for iPhone,http://twitter.com/download/iphone,"RT @demonland: PRELIMINARY FINAL BOUND 🔴🔵😈

#GoDees #FiredUp #GiveEmHell https://t.co/UV4c85HZed",2017-06-22 07:12:57,LS Fish15 🇦🇺🏳️‍🌈,217,"Light Speed Esports driver on Forza Motorsport 7. Supports: Garth Tander, Erebus Motorsport, McLaren, Danny Ric and Lando Norris.",,#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.094031714,0.6983424,0.20762594
1431591137395896325,2021-08-28 12:14:59,"GiveEmHell, AFLDeesLions",en,32,Twitter for iPhone,http://twitter.com/download/iphone,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2009-05-01 00:14:33,Louise Staley MP,2917,"Victorian Shadow Treasurer, Shadow Minister for Economic Development, and Liberal Member of Parliament for Ripon.","Ararat, VIC",#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431591115862396931,2021-08-28 12:14:54,"GiveEmHell, AFLDeesLions",en,32,Twitter for iPhone,http://twitter.com/download/iphone,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2012-12-16 00:39:42,Brendan Da Costa,345,Stats guy for @FoxSportsLab. Despite all that access to info I still make up all my own opinions here.,"Sydney, Australia",#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431591091501875214,2021-08-28 12:14:48,"GiveEmHell, AFLDeesLions",en,32,Twitter for iPhone,http://twitter.com/download/iphone,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2014-02-24 05:47:15,Adam Badman,74,"Melbourne, Australia",Garden State,#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431591078558273543,2021-08-28 12:14:45,"GiveEmHell, AFLDeesLions",en,32,Twitter for Android,http://twitter.com/download/android,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2013-06-03 06:31:38,Chris Gold,546,Melbourne Native. MFC QPR Ex Navy ⚓️ Middle East- Mid West,Richmond Victoria,#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431591001081069583,2021-08-28 12:14:26,"GiveEmHell, AFLDeesLions",en,32,Twitter for iPhone,http://twitter.com/download/iphone,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2020-06-26 06:29:27,your stepson,77,race traitor/teacher/powerful woman/@3rrrfm broadcaster/opinions my own,Stolen Gunai Kurnai Land,#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431590971632865280,2021-08-28 12:14:19,"GiveEmHell, AFLDeesLions",en,32,Twitter for iPhone,http://twitter.com/download/iphone,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2014-11-06 22:58:35,Sophie Taylor 💫,698,✩ senior editor @draftcentralaus // cohost @centrepasspod + stuck with us podcast // vnl commentator @netballvic // melb dees/vix tragic ✩,views my own | Naarm | she/her,#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431590943962980352,2021-08-28 12:14:13,"GiveEmHell, AFLDeesLions",en,32,Twitter for iPhone,http://twitter.com/download/iphone,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2012-04-10 22:21:32,SARA(h),722,,melbourne,#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431590832126115842,2021-08-28 12:13:46,giveemhell,en,0,Twitter for iPhone,http://twitter.com/download/iphone,I love you @melbournefc #giveemhell ❤️💙 https://t.co/ZYKgbiP5UG,2010-10-05 23:18:22,Sally Heppleston,515,"Mum. Stillbirth survivor. Marathoner. Journo. @parkrunau Social Media Ambassador, Westerfolds junior parkrun Event Director @melbournefc fan",Melbourne,#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.0010975186,0.008912422,0.9899901
1431590788534706189,2021-08-28 12:13:36,"afldeeslions, GiveEmHell",en,0,Twitter for iPhone,http://twitter.com/download/iphone,Prelim here we come!! ❤️💙 #afldeeslions #GiveEmHell,2017-02-18 08:21:10,Holly Chisholm,20,,"Melbourne, Victoria",#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.0013933232,0.030760264,0.96784633
1431590779919634440,2021-08-28 12:13:34,"GiveEmHell, AFLDeesLions",en,32,Twitter for Android,http://twitter.com/download/android,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2009-02-12 03:22:49,𝐈𝐚𝐧 𝐅𝐚𝐫𝐫𝐨𝐰 💉💉(az) ⛷🇦🇺 イアン ファロー,1211,"economics | taxation | data science | snowsports instructor
(followers, followed, mentions, likes, retweets ≠ endorsements); former ARes officer (RAInf); Mr/Sir","Melbourne, Australia",#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431590742942646275,2021-08-28 12:13:25,"GiveEmHell, AFLDeesLions",en,32,Twitter for iPhone,http://twitter.com/download/iphone,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2012-06-06 09:22:09,Martin Gleeson,1020,"CNSW Area Manager Southern NSW & ACT. Dad to energetic twins. Loves cricket, footy, travelling & photography. Dreams to be a better golfer. Views my own","Canberra, ACT",#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431590675561156608,2021-08-28 12:13:09,"alfDeesLions, AFLFinals, GiveEmHell",en,0,Twitter for iPhone,http://twitter.com/download/iphone,HELL YES DEMONS 🔥🔥🔥 ❤️💙❤️💙 #alfDeesLions #AFLFinals #GiveEmHell,2011-09-05 22:44:38,Sarah Millar,618,"Head of Content Channels @RACV_Official. Working mum. Demons & Vixens fan, baker, gym junkie, JRT owner. Powered by coffee, red wine & dry shampoo. Views mine.","Melbourne, Australia",#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.0058017094,0.07273609,0.9214621
1431590662034493445,2021-08-28 12:13:06,"GiveEmHell, AFLDeesLions",en,32,Twitter for iPhone,http://twitter.com/download/iphone,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2011-03-17 06:34:39,Marvel Presents Salò,1675,"Musically my taste is somewhere between Sleater-Kinney and Sleater-Kinney. I also quite like Masters of Cinema, Criterion, Arrow Video, gin, red wine & cheese.","Ballarat, Australia",#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431590659371069442,2021-08-28 12:13:05,GiveEmHell,en,0,Twitter for iPhone,http://twitter.com/download/iphone,"THE DEES ARE OFF TO A PRELIMINARY FINAL!!

#GiveEmHell 

I ❤️💙 U @melbournefc 

That was a thing of beauty. Pressur… https://t.co/mkIlpK6NZt",2009-03-13 02:46:03,Nikki Clare,1110,"she/her  🏳️‍🌈 In a world where you can be anything, be kind. Women’s Sport is my priority. Opinions are my own. Insta: Niksterisms","Melbourne, Australia",#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.0047453237,0.055138625,0.940116
1431590652450508802,2021-08-28 12:13:03,"AFLDeesLions, GiveEmHell",en,0,Twitter for iPhone,http://twitter.com/download/iphone,WE DID IT!! IM CRYING 😭. BRING ON THE BLOODY PRELIMS #AFLDeesLions #GiveEmHell,2009-05-29 07:54:08,cassie 💕,834,twenty six,She/Her,#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.04139589,0.13955145,0.8190527
1431590603221917700,2021-08-28 12:12:52,"GiveEmHell, AFLDeesLions",en,32,Twitter for iPhone,http://twitter.com/download/iphone,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2013-10-05 11:55:08,Cameron Britt,622,"Proud Dad & Husband | Errant Golfer | Sports, Commercial & Brand | CEO @SFFCBulldogs 🏆","Perth, Western Australia",#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431590582082695170,2021-08-28 12:12:47,"GiveEmHell, AFLDeesLions",en,32,Twitter for iPhone,http://twitter.com/download/iphone,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2021-05-14 00:55:43,Kobe Hay,8,He/him. Hufflepuff 🦡. Dees. UniMelb. Victorian. 🏳️‍🌈,"Melbourne, Victoria",#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431590578316201986,2021-08-28 12:12:46,"GoDees, GiveEmHell, FiredUp, AFLDeesLions, CMON",en,0,Twitter for iPhone,http://twitter.com/download/iphone,And now we wait. Two more. Believe ❤️💙❤️💙 #GoDees #GiveEmHell #FiredUp #AFLDeesLions #CMON https://t.co/xABrP6vnEU,2010-06-29 10:50:48,Ryan Holland,124,MANIMAL - Never trust adults with imaginary friends... #BeConsistent,"Melbourne, Australia",#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.0048135156,0.106960624,0.8882258
1431590576139374592,2021-08-28 12:12:45,"GiveEmHell, AFLDeesLions",en,32,TweetDeck,https://about.twitter.com/products/tweetdeck,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2010-04-08 21:48:49,Sheeds,2388,"Dad, Geek, Photography, Beach-life. 80's. Vinyl music. Randomly off-topic - former WP Guru. Crohn's Disease. Sales Professional. Hopefully not too cynical.","Melbourne, Australia.",#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431590562306539520,2021-08-28 12:12:42,"afldeeslions, GiveEmHell",und,0,Twitter for iPhone,http://twitter.com/download/iphone,#afldeeslions #GiveEmHell https://t.co/0a4dk63TU5,2008-05-25 08:07:04,Kara,587,"Mad MFC supporter, and just thinks people should give a stuff about each other. FYI. views represent me and not my employer.",,#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.25347397,0.6589033,0.087622665
1431590556816216067,2021-08-28 12:12:41,"GiveEmHell, AFLDeesLions",en,32,Twitter for iPhone,http://twitter.com/download/iphone,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2012-05-25 05:02:22,Barbara Norman,1852,"Professor Urban & Regional Planning Uni Canberra, sustainable cities & regions, coastal planning, climate change adaptation; co-chair planners climate action🌎",Canberra,#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431590555314647040,2021-08-28 12:12:40,"GiveEmHell, AFLDeesLions",en,32,Twitter for iPhone,http://twitter.com/download/iphone,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2010-09-18 06:27:23,Manfred Pinson,11131,Former CEO and Chairman Sydney Radio 2RRR 88.5 FM. This account reflects my views and not those of any media associations or other corporations.,"Sydney,Australia.",#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431590548654022662,2021-08-28 12:12:39,"GiveEmHell, AFLDeesLions",en,32,Twitter for Android,http://twitter.com/download/android,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2014-08-12 17:41:52,Skies,614,@DOOMEDxo Sucks at poker,,#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
1431590548326928389,2021-08-28 12:12:39,"GiveEmHell, AFLDeesLions",en,32,Twitter for iPhone,http://twitter.com/download/iphone,"RT @melbournefc: FT. 

Prelim Final - here we come. 👊

#GiveEmHell | #AFLDeesLions https://t.co/8H6xPGBiPW",2009-04-18 23:51:04,Karen Barlow,31871,"Chief Political Correspondent at ACM @canberratimes. Via ABC News, SBS News and HuffPostAU. Antarctic alum and 2xOlympics. Karen.Barlow@CanberraTimes.com.au",Canberra,#GiveEmHell,2021-08-28 12:15:30.414573,Australia,0.13547623,0.68578583,0.1787379
