tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1431591452971311113,2021-08-28 12:16:14,,en,3,Twitter for Android,http://twitter.com/download/android,RT @MamaMoonStarrr: I got up at 4am to get ready. I was so excited to watch the Mamamoo concert and my stream never worked. I would like a…,2018-08-27 07:43:41,Mew9995⁴ˣ⁴ ❖ TRAVEL,172,"MOOMOO, STAY, ARMY, ONCE....",,#KAVECONREFUND,2021-08-28 12:15:30.414573,United States,0.079625845,0.1933905,0.72698367
1431591447078260737,2021-08-28 12:16:13,KAVECONREFUND,en,33,Twitter for iPhone,http://twitter.com/download/iphone,"RT @jojoroxye: Refund or provide VOD with english subtitles for an entire month with no lags or bugs
#KAVECONREFUND https://t.co/VbOsQgA9Iz",2012-09-09 06:10:01,L,39,🇻🇳🇺🇸🇫🇷,,#KAVECONREFUND,2021-08-28 12:15:30.414573,United States,0.14996207,0.74608463,0.10395325
1431591446105100296,2021-08-28 12:16:13,KAVECONREFUND,en,445,Twitter Web App,https://mobile.twitter.com,"RT @MamamooPH: KAVECON APOLOGIZE TO MAMAMOO

#KAVECONREFUND 
@KAVECON https://t.co/tEHisP34TX",2019-12-28 06:32:16,⁴ˣ⁴byulyk⁷ ❖🐋,72,"💚 사랑하누 마마무  • 보라해 방탄 💜                     
 
            i won't let go of you, my ray of sunshine, my string of hope 
- never letting go",purple radish field,#KAVECONREFUND,2021-08-28 12:15:30.414573,United States,0.1272667,0.79086965,0.08186367
1431591444960059395,2021-08-28 12:16:12,KAVECONREFUND,en,445,Twitter Web App,https://mobile.twitter.com,"RT @MamamooPH: KAVECON APOLOGIZE TO MAMAMOO

#KAVECONREFUND 
@KAVECON https://t.co/tEHisP34TX",2011-08-02 23:05:17,#WAW #MAMAMOO Comeback June | Live and Love 🇲🇽,376,"#Mexican 🇲🇽
#Spanish #English
#Friendly
#Geek
#Multiculturelover
#Mamamoolover",Mexico ,#KAVECONREFUND,2021-08-28 12:15:30.414573,United States,0.1272667,0.79086965,0.08186367
1431591443932585991,2021-08-28 12:16:12,KAVECONREFUND,en,1,Twitter for iPhone,http://twitter.com/download/iphone,"RT @beezzzzz_mmm: @MamamooCharts @KAVECON #KAVECONREFUND
KAVECON APOLOGIZE TO MAMAMOO",2016-11-29 01:46:54,AdiNeL,81,,Radish Farm,#KAVECONREFUND,2021-08-28 12:15:30.414573,United States,0.11009726,0.802375,0.087527744
1431591439511658499,2021-08-28 12:16:11,,en,7,Twitter Web App,https://mobile.twitter.com,"RT @4withthesun___: A list of options RBW had to stream with that doesn't have a history of lagging/not working.  
@KAVECON
 
#KAVECONREFUN…",2020-10-29 15:53:44,𝒹𝒶𝓎𝒶𝓃𝒶 | MAMAMOO CONCERT D-DAY,277,놓지 않을게 🐰🐹🐶🦁,🇲🇾,#KAVECONREFUND,2021-08-28 12:15:30.414573,United States,0.54668397,0.4226712,0.030644879
1431591439377514502,2021-08-28 12:16:11,KAVECONREFUND,en,578,Twitter for Android,http://twitter.com/download/android,"RT @eventsformmm: We demand a refund/VOD and an apology for Moomoos and Mamamoo @KAVECON 

#KAVECONREFUND
KAVECON APOLOGIZE TO MAMAMOO",2019-12-22 18:34:10,IllePieszecki,0,,,#KAVECONREFUND,2021-08-28 12:15:30.414573,United States,0.29614213,0.6249004,0.07895745
1431591437993316357,2021-08-28 12:16:11,KAVECONREFUND,en,716,Twitter Web App,https://mobile.twitter.com,"RT @MamamooCharts: KAVECON APOLOGIZE TO MAMAMOO
#KAVECONREFUND
@KAVECON https://t.co/nuHi4SDFYa",2010-05-10 09:32:12,셜리 MUST 🤝 WAW,1105,"⛪ 
S. Pd Math yang kerjanya fangirlingan 🙃. 
~JYPstan~
2PM & SKZ loml 💞
Sometime loud for Mamamoo too.

Chansung🍌 💜 Moon byul🐹
kwp cyj lk hjs bc sm in",Indonesia,#KAVECONREFUND,2021-08-28 12:15:30.414573,United States,0.13934758,0.77900696,0.08164538
1431591435837509636,2021-08-28 12:16:10,,en,2,Twitter for Android,http://twitter.com/download/android,"RT @breathingMMM: Mamamoo: how did you like our concert?

I-moos: i loved the parts where th e str eam wa s workin=)/&amp;(/%§&amp;-.......500 erro…",2020-07-26 13:45:52,Ivanna,24,Header by: @shyemmm_,Greece,#KAVECONREFUND,2021-08-28 12:15:30.414573,United States,0.0083255395,0.14869857,0.84297585
1431591435510292485,2021-08-28 12:16:10,,en,1561,Twitter for Android,http://twitter.com/download/android,"RT @MamamooCharts: [START TRENDING]

KAVECON, we demand a full refund or VOD and an apology to Mamamoo &amp; Moomoos!

Use the hashtags and phr…",2018-02-13 00:48:43,C.A.S.N.💚⭐🌈,5,Make twitter for Cherprang,"กรุงเทพมหานคร, ประเทศไทย",#KAVECONREFUND,2021-08-28 12:15:30.414573,United States,0.40475282,0.5322206,0.06302659
1431591433132195840,2021-08-28 12:16:09,,en,129,Twitter for iPhone,http://twitter.com/download/iphone,"RT @ZelleMoonStar: Dear @KAVECON 
•We paid $35 for this service.
•cancelled plans for this.
•imoos woke up at odd hours to watch.
•We were…",2012-09-09 06:10:01,L,39,🇻🇳🇺🇸🇫🇷,,#KAVECONREFUND,2021-08-28 12:15:30.414573,United States,0.60582924,0.35940856,0.03476221
1431591430879858689,2021-08-28 12:16:09,,es,0,Twitter for Android,http://twitter.com/download/android,"Estoy como los tiktoks de ""¡AY MIS AHORROS!"" Mis mujeres están cantando o conversando, dándolo TODO en el escenario… https://t.co/Q41tDCKcWk",2019-04-28 00:52:08,odeti,8,"""Si bien no somos perfectos, somos de edición limitada."" 

-Kim NamJoon.",,#KAVECONREFUND,2021-08-28 12:15:30.414573,United States,0.1388446,0.7788079,0.08234755
1431591429936009216,2021-08-28 12:16:09,,en,58,Twitter Web App,https://mobile.twitter.com,"RT @dansoudango: My expectations were low, but I didn't think I'd be looking at a blank screen for 2 hours. And @KAVECON has been radio sil…",2020-07-07 08:49:07,MJ❖REDD BEST ALBUM❖,164,"im a introvert baby moo🐮 
and a 5 yo SONE❤
fan girling acc.😊",,#KAVECONREFUND,2021-08-28 12:15:30.414573,United States,0.6226102,0.3319437,0.045446042
1431591429533417472,2021-08-28 12:16:09,KAVECONREFUND,en,1,Twitter for iPhone,http://twitter.com/download/iphone,"RT @JungsMyHopes: @MamamooCharts @KAVECON #KAVECONREFUND
KAVECON APOLOGIZE TO MAMAMOO",2016-11-29 01:46:54,AdiNeL,81,,Radish Farm,#KAVECONREFUND,2021-08-28 12:15:30.414573,United States,0.089777745,0.77910745,0.13111478
