tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1431591322301906944,2021-08-28 12:15:43,MCIARS,en,0,Twitter for iPhone,http://twitter.com/download/iphone,this is comedy gold 🤣 #MCIARS,2014-02-15 04:55:06,Luke,10246,Chelsea | Formula 1 |,London,#MCIARS,2021-08-28 12:15:30.414573,Australia,0.06130201,0.2297385,0.70895946
1431591322180362246,2021-08-28 12:15:43,MCIARS,en,0,Twitter for Android,http://twitter.com/download/android,Edersons playing out the back when he gets it right is just incredible #MCIARS,2009-10-11 15:56:13,Cameron,190,Product of study. Never stop learning https://t.co/uC4M9H0Prx - football articles.,,#MCIARS,2021-08-28 12:15:30.414573,Australia,0.006549012,0.06522645,0.9282245
1431591321869983744,2021-08-28 12:15:43,MCIARS,en,1,Twitter for Android,http://twitter.com/download/android,"RT @EricanSA: Arsenal supporters have seen enough already. 

#MCIARS https://t.co/zVMbujuvFh",2020-10-17 06:00:47,SIFUNDO☠️,628,"Here to Like & Retweet 😋


❤️Orlando Pirates
❤️Arsenal (disappointing 9 times out of 10)
#KroenkeOut
Real Madrid ❌","Kariega, Nelson Mandela Bay.",#MCIARS,2021-08-28 12:15:30.414573,Australia,0.42148435,0.53269666,0.045819025
1431591321790255105,2021-08-28 12:15:43,MCIARS,en,182,Twitter for Android,http://twitter.com/download/android,"RT @Arsenal: Goal for Manchester City - scored by Jesus

🔵 3-0 🔴 (43)

#MCIARS",2020-11-23 10:04:54,Rose,554,,,#MCIARS,2021-08-28 12:15:30.414573,Australia,0.027891789,0.85768735,0.11442077
1431591321626570756,2021-08-28 12:15:43,"MCIARS, bbcfootball",en,32,Twitter Web App,https://mobile.twitter.com,"RT @BBCSport: RED CARD!

Granit Xhaka is sent off for a foul on Joao Cancelo.

Man City 2-0 Arsenal.

#MCIARS #bbcfootball",2009-11-27 15:01:41,Juan Carlos Cordero,1131,"Journalist, Editor-in-chief, Music and TV Executive Producer, Multimedia creator and developer, based in Toronto, Canada","Toronto, ON Canada",#MCIARS,2021-08-28 12:15:30.414573,Australia,0.45743877,0.5078205,0.03474082
1431591321593004036,2021-08-28 12:15:43,MCIARS,en,1,Twitter for Android,http://twitter.com/download/android,RT @llcoolstain: Arsenal fans who are  still watching #MCIARS right now are natural Assassins. 😂,2011-03-07 10:19:48,RoastMe,26595,Don't Trust too much. cos that too much may Hurt you more!/inspirational/Thought /#Patriotic,Utopia🌧,#MCIARS,2021-08-28 12:15:30.414573,Australia,0.60801613,0.36014012,0.031843778
1431591321534337025,2021-08-28 12:15:43,MCIARS,en,1,Twitter for Android,http://twitter.com/download/android,"RT @FerdyOmondi: 2-0 down and a red card in 35 minutes. At this point, it is impossible to banter Arsenal. You can only pity them . #MCIARS",2009-09-11 14:28:44,爷爷🇰🇪,901,"Father of two beautiful girls.
Husband.
🇰🇪
Not your typical kisii guy","Nairobi, Kenya",#MCIARS,2021-08-28 12:15:30.414573,Australia,0.83214694,0.14712822,0.020724772
1431591321307729927,2021-08-28 12:15:43,,en,488,Twitter for Android,http://twitter.com/download/android,"RT @premierleague: GOAL Man City 2-0 Arsenal (12 mins)

What a start for City! Bernardo Silva curls a ball into the box which Arsenal fail…",2020-09-02 14:49:24,Zamz,5,"Hidup Biar Sedap.
Innasolati wanusuki wamahyaya wamamati lillahirabbil a'lameen","North Holland, The Netherlands",#MCIARS,2021-08-28 12:15:30.414573,Australia,0.046311874,0.43600067,0.5176875
1431591320964018177,2021-08-28 12:15:43,MCIARS,und,0,Twitter Web App,https://mobile.twitter.com,#MCIARS https://t.co/6SNvBY1fUC,2021-08-28 11:33:42,ADNAN #PEL,118,Follow Me @BSM26F_,,#MCIARS,2021-08-28 12:15:30.414573,Australia,0.16969374,0.7780688,0.052237514
1431591320686981122,2021-08-28 12:15:43,MCIARS,in,0,Twitter Web App,https://mobile.twitter.com,Semangat Arsenal bisaa yoo😎🤣 #MCIARS,2019-09-05 15:53:24,AgungAryadi,116,let's gooo!!,,#MCIARS,2021-08-28 12:15:30.414573,Australia,0.09411002,0.66962695,0.23626302
1431591320083054592,2021-08-28 12:15:43,MCIARS,in,0,Twitter for iPhone,http://twitter.com/download/iphone,Boleh gila tengok match ni #MCIARS,2020-02-20 14:39:22,ShafiqYusof,21,Boom boom pow 💥,,#MCIARS,2021-08-28 12:15:30.414573,Australia,0.11139378,0.8312422,0.057364035
1431591320041127939,2021-08-28 12:15:43,MCIARS,en,0,Twitter for iPhone,http://twitter.com/download/iphone,Burn your @Arsenal shirts #MCIARS,2012-07-13 02:30:36,Sin Yew,2608,Advocate @AmerBON. Bar Council. Trying to make Human Rights and Constitutional Law easier to understand.,,#MCIARS,2021-08-28 12:15:30.414573,Australia,0.7644693,0.21033122,0.025199486
1431591319823081472,2021-08-28 12:15:42,MCIARS,en,0,Twitter for iPhone,http://twitter.com/download/iphone,I reiterate my point. #MCIARS https://t.co/RlZN6eoBHh,2010-08-28 12:17:05,Matt Driver,201,"I am essentially a good person, occasionally I leave the lids off things...","Hoylake, England",#MCIARS,2021-08-28 12:15:30.414573,Australia,0.17111753,0.758776,0.07010648
