tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1426517930057998349,2021-08-14 12:15:52,"MUFC, MUNLEE",en,1325,Twitter for Android,http://twitter.com/download/android,"RT @ManUtd: What a feeling. What a noise! 😍

#MUFC | #MUNLEE https://t.co/eno8CzHKsf",2011-04-04 12:26:04,i'm cyborg but that's ok 🗯,879,everything can work,,#MUNLEE,2021-08-14 12:15:39.575679,Australia,0.005091117,0.0745919,0.92031693
1426517929819054084,2021-08-14 12:15:52,"MUFC, MUNLEE",en,1325,Twitter for Android,http://twitter.com/download/android,"RT @ManUtd: What a feeling. What a noise! 😍

#MUFC | #MUNLEE https://t.co/eno8CzHKsf",2010-10-15 16:10:26,Emma Lege,24244,PR/Adverts/Promotions/Trends/@LadyGaga ❤️ @TiwaSavage ❤️ @HenshawKate ❤️ #MUFC #KogiBoy  #May14 🎉,"Nevada, USA",#MUNLEE,2021-08-14 12:15:39.575679,Australia,0.005091117,0.0745919,0.92031693
1426517929047232513,2021-08-14 12:15:52,"BrunoFernandes, MUFC, MUNLEE",en,2,Twitter for iPad,http://twitter.com/#!/download/ipad,RT @RichmondAlister: What a pic 👊🏼🔴⚪⚫ #BrunoFernandes #MUFC #MUNLEE https://t.co/UgKRQyK0sR,2011-02-27 07:31:25,See_Yowa_Life🇺🇬🇿🇦,19103,FOOD | TRAVEL | LIFESTYLE,"Kampala, Uganda",#MUNLEE,2021-08-14 12:15:39.575679,Australia,0.0039851093,0.17082539,0.8251895
1426517927034073091,2021-08-14 12:15:51,MUNLEE,en,0,Twitter for iPhone,http://twitter.com/download/iphone,Dan james is shockingly bad #MUNLEE,2011-05-31 07:13:16,Mugerwa.francis,660,,,#MUNLEE,2021-08-14 12:15:39.575679,Australia,0.94665956,0.046352934,0.0069875093
1426517924395642890,2021-08-14 12:15:51,"PL, MUFC, MUNLEE",en,2954,Twitter for iPhone,http://twitter.com/download/iphone,"RT @ManUtd: BRUNNOOOO! 👏

@B_Fernandes8 fires the Reds into the lead, scoring our first #PL goal of the season 🤩

#MUFC | #MUNLEE",2018-12-24 15:05:16,you sabi me?😏😒,2904,God| Hustle| Food| Man utd🔴| CR7| Olamide baddo is my GOAT 🐐| Fierce Nation 💡,Nirvana,#MUNLEE,2021-08-14 12:15:39.575679,Australia,0.0015306396,0.12378532,0.87468404
1426517924270034953,2021-08-14 12:15:51,MUNLEE,en,0,Twitter for Android,http://twitter.com/download/android,"OMG FUCKEN JAMES MAN, GET HIM OFF THE PITCH FFS!! 😠😠😠 #MUNLEE",2011-07-19 14:45:56,HRH Jabbar Tajj Al-Badawi,1424,"Amateur: Industrial Engineer, Polyglot, Developer, Petrolhead, Gym Junkie.","Old Trafford, Manchester ",#MUNLEE,2021-08-14 12:15:39.575679,Australia,0.9657727,0.028354807,0.0058725155
1426517924005785600,2021-08-14 12:15:51,,en,0,Twitter for Android,http://twitter.com/download/android,"I really liked Lucy Ward last season, but this is hilariously Leeds biased. Are they the best team ever? Is Bielsa… https://t.co/KykR3uc4BN",2020-12-12 15:00:06,The Armchair Football Fan,8,"To save my real friends from constant football rants, I can now tweet freely into the abyss.
Calling out bollocks and shouting (often incorrect) opinions.",,#MUNLEE,2021-08-14 12:15:39.575679,Australia,0.2666567,0.39667895,0.33666435
1426517922411864070,2021-08-14 12:15:50,"FPL, MUNLEE",en,267,Twitter for Android,http://twitter.com/download/android,"RT @OfficialFPL: That smile. That damned smile. 

#FPL #MUNLEE https://t.co/9G94wcu0Rv",2020-06-23 10:20:30,HUCLARK TRADES,5900,"Chartered Accountant (ICAG) 📊 || Forex Trader📈📉 || Founder Of @HuclarkTrades Community.


























The earthly mind did not comprehend.",,#MUNLEE,2021-08-14 12:15:39.575679,Australia,0.15691933,0.47827485,0.36480588
1426517920452997124,2021-08-14 12:15:50,"MUFC, MUNLEE",en,1325,Twitter for Android,http://twitter.com/download/android,"RT @ManUtd: What a feeling. What a noise! 😍

#MUFC | #MUNLEE https://t.co/eno8CzHKsf",2012-07-25 02:34:18,Pal?,397,#MUFC,"7°22'14.8""𝘚 112°42'19.4""𝘌",#MUNLEE,2021-08-14 12:15:39.575679,Australia,0.005091117,0.0745919,0.92031693
1426517920117628928,2021-08-14 12:15:50,MUNLEE,en,0,Twitter for iPhone,http://twitter.com/download/iphone,McTominay has been phenomenal! #MUNLEE,2011-06-12 15:16:03,Kyle Hinchliffe,105,,Huddersfield,#MUNLEE,2021-08-14 12:15:39.575679,Australia,0.0020853186,0.024386002,0.9735286
