tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1423980138472083460,2021-08-07 12:11:35,NRLManlyStorm,en,11,Twitter for iPhone,http://twitter.com/download/iphone,"RT @NRL: Job done 🗣

#NRLManlyStorm https://t.co/0mXFhy7Sdg",2016-02-06 15:24:16,PROS,654,#Aotearoa #NZ,"Auckland, New Zealand",#NRLManlyStorm,2021-08-07 12:16:10.089293,Australia,0.018900545,0.76001316,0.22108626
1423979965004107781,2021-08-07 12:10:54,NRLManlyStorm,en,20,Twitter for iPhone,http://twitter.com/download/iphone,"RT @NRL: 17 STRONG

#NRLManlyStorm @bundabergrum https://t.co/fiuayv5RD0",2016-02-06 15:24:16,PROS,654,#Aotearoa #NZ,"Auckland, New Zealand",#NRLManlyStorm,2021-08-07 12:16:10.089293,Australia,0.020915402,0.80061173,0.17847294
1423979357148651522,2021-08-07 12:08:29,NRLManlyStorm,en,0,WSC Sports,http://wsc-sports.com,"One of the greatest coaches in the world... Zoom background expert ✅

🏈#NRLManlyStorm https://t.co/Z3KZG2AXVe",2011-02-15 21:47:34,Fox League,136818,"Channel dedicated to Rugby League 📺 #FoxLeague 502 
📱Visit Website👇",Australia,#NRLManlyStorm,2021-08-07 12:16:10.089293,Australia,0.0021865184,0.06418119,0.9336323
1423979102147547139,2021-08-07 12:07:28,NRLManlyStorm,en,11,Twitter for Android,http://twitter.com/download/android,"RT @NRL: Job done 🗣

#NRLManlyStorm https://t.co/0mXFhy7Sdg",2016-04-05 04:07:48,🇦🇺 🌸AussieChic🌸 🇦🇺 Footy is back! 💜⚡,717,"Opinionated proud Aussie. 
Group winning 🏇 breeder. 
Melbourne Storm #MelbourneProud 💜⚡
Sydney Thunder #ThunderNation 💚","Melbourne, Victoria",#NRLManlyStorm,2021-08-07 12:16:10.089293,Australia,0.018900545,0.76001316,0.22108626
1423978605814628354,2021-08-07 12:05:30,,en,1,Twitter Web App,https://mobile.twitter.com,RT @Louise_Hislop: Can someone tell Cameron Munster there's a bit of metal you can wrap around the bridge of your nose to stop your mask fa…,2011-01-29 10:46:51,A.Lizard,3105,"electronics-computer R&D. ex-tech journo,SFarea, music-industrial(Angelspit,Experiment Haywire,HelalynFlowers,FrontLineAssembly)he/him/cis/male #AllCatPack",SF Bay Area,#NRLManlyStorm,2021-08-07 12:16:10.089293,Australia,0.20632479,0.75937337,0.03430188
1423976903203966980,2021-08-07 11:58:44,,en,3,Twitter for iPhone,http://twitter.com/download/iphone,"RT @NRLonNine: ""He's a shadow of what he was earlier in the season before he got that knock"" - Gus Gould.

Should we be worried about Ryan…",2021-03-08 05:49:33,Out of our League (OOOL) 🏉,712,"A love letter to the greatest game of all: Rugby League chat, mostly #nrl simpsons memes ...and Leagues club reviews 🏉","Sydney, New South Wales",#NRLManlyStorm,2021-08-07 12:16:10.089293,Australia,0.34647885,0.6212051,0.032316007
1423976784610144257,2021-08-07 11:58:16,NRLManlyStorm,en,14,Twitter for iPhone,http://twitter.com/download/iphone,"RT @NRL: This @storm jersey 👌

#NRLManlyStorm https://t.co/7JK5npU0pb",2013-05-29 09:30:45,Cal Insull,363,SJ @UCLan | @WarringtonRLFC @BCFC @nyjets enthusiast | Host of @TheRLReview | 1/4 of @TLancsFS | 1/5 of @BcfcMedia_ | @ProstInt @FranchiseSprts,"Preston, England",#NRLManlyStorm,2021-08-07 12:16:10.089293,Australia,0.006121741,0.6599002,0.33397803
1423976201429786630,2021-08-07 11:55:57,NRLManlyStorm,en,0,Twitter for Android,http://twitter.com/download/android,"@Duranozfan @SeaEagles We showed tonight that we can beat them. Just a few too many silly errors, really cost us out there. #NRLManlyStorm",2015-06-04 00:56:50,George Iliadis,762,Passionate Manly Sea Eagles #ManlyForever and Liverpool FC #YNWA Supporter,Australia,#NRLManlyStorm,2021-08-07 12:16:10.089293,Australia,0.5771134,0.33733344,0.08555319
1423975949238996996,2021-08-07 11:54:57,NRLManlyStorm,en,11,Twitter for Android,http://twitter.com/download/android,"RT @NRL: Job done 🗣

#NRLManlyStorm https://t.co/0mXFhy7Sdg",2012-06-22 11:31:16,Noblar⚡,490,"Irish living  in Sydney🇮🇪
Melbourne  Storm⚡⚡
UFC✊MMA👊
Write a little for @mmalatestnews",,#NRLManlyStorm,2021-08-07 12:16:10.089293,Australia,0.018900545,0.76001316,0.22108626
1423975571608915971,2021-08-07 11:53:27,NRLManlyStorm,en,0,Twitter for Android,http://twitter.com/download/android,"Des Hasler came in looking like he'd been in a street fight. 😏 
#NRLManlyStorm",2010-09-30 12:15:56,JustJan2,538,Geelong Cats. Melbourne Storm. Animal lover. Hating what's happening to this beautiful country by the loonies.,"Victoria, Australia",#NRLManlyStorm,2021-08-07 12:16:10.089293,Australia,0.22256336,0.6354685,0.14196816
