tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1431588632838635520,2021-08-28 12:05:02,,en,1,Twitter for iPhone,http://twitter.com/download/iphone,RT @woodward_curtis: Know exactly what Fifita's family went through. Watching my fiancée in a coma for a week still seems very surreal #NRL…,2011-09-15 10:35:53,Beges007 OAM,1503,Old fashioned guy trying to do his best! Ordinary Aussie Male,Sydney,#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.78574014,0.19988345,0.014376339
1431587586812911618,2021-08-28 12:00:52,,en,3,ifyourewillingotchnage,https://robbie.com,"RT @jmbnewman: What a day in sport, @NSWSwifts win the trophy, @Cronulla_Sharks get the W and the Storm get done by Parra so @LadiesWhoLeag…",2014-05-16 23:23:17,f1fantwo (imaginary/made/up/gender),2068,"Curated F1 views from the fans! Like BBC + Telegraph Sport + WTF1, but better and without the garbage and lies! #teamLH = babies",Worldwide,#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.005139167,0.20229052,0.79257023
1431586286960189440,2021-08-28 11:55:43,brisbanebroncos,en,0,Twitter for Android,http://twitter.com/download/android,"From tonights game. I took mt camera. Will post a few posts as can only do 4 photos per tweet. 
#brisbanebroncos… https://t.co/QxavTRVDEi",2009-03-03 10:36:49,Biggest Supporter,111,,"Queensland, Australia",#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.09813301,0.7987114,0.10315562
1431585434971344901,2021-08-28 11:52:19,NRLSharksBroncos,en,0,IFTTT,https://ifttt.com,NRL: Sharks d Broncos. Crowd TBA @ Suncorp Stadium #NRLSharksBroncos View details: https://t.co/5gIW4TMVYn,2009-08-25 06:05:01,Austadiums Sport,2200,"Australian sports results & crowd attendance figures, direct from the @austadiums website. AFL, NRL, A-League, NBL, Cricket & more.",Australia,#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.022826025,0.9477891,0.029384874
1431585392030109698,2021-08-28 11:52:09,,en,3,Swifties Retweet Bot,http://taylorswift.com,"RT @jmbnewman: What a day in sport, @NSWSwifts win the trophy, @Cronulla_Sharks get the W and the Storm get done by Parra so @LadiesWhoLeag…",2017-02-11 08:12:45,Swifties Retweets,2154,"Reputation :-), i retweet #Swifties ;-)  FB: swifties.retweets IG: evazafiraswiftiez",Germany,#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.005139167,0.20229052,0.79257023
1431581146823884810,2021-08-28 11:35:17,,en,3,Twitter for iPhone,http://twitter.com/download/iphone,"RT @jmbnewman: What a day in sport, @NSWSwifts win the trophy, @Cronulla_Sharks get the W and the Storm get done by Parra so @LadiesWhoLeag…",2013-06-19 00:27:47,LadiesWhoLympic,11545,Championing women in sport and women involved in sport. @mary__kaye is 👸🏻 of this Empire. Join our family and say hello! 🏉❤️🏏,Sydney,#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.005139167,0.20229052,0.79257023
1431581067891265542,2021-08-28 11:34:58,,en,3,Twitter for Android,http://twitter.com/download/android,"What a day in sport, @NSWSwifts win the trophy, @Cronulla_Sharks get the W and the Storm get done by Parra so… https://t.co/KbVG22Qe3R",2020-03-09 02:51:35,jmbnewman,61,"Sydney Living, sport loving, word wasting, wire twisting friendly giant.",,#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.005038867,0.17954423,0.81541693
1431575338622992398,2021-08-28 11:12:12,"NRLSharksBroncos, UpUp",en,0,Twitter for Android,http://twitter.com/download/android,"#NRLSharksBroncos 
This is how you celebrate a season continuing WIN in South Korea #UpUp https://t.co/MKZAIUZowj",2012-04-11 06:02:45,David Neill,212,"Body in Seoul, soul in Sydney.",,#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.0020808377,0.08893734,0.90898186
1431573832947601413,2021-08-28 11:06:13,NRLSharksBroncos,en,5,Twitter Web App,https://mobile.twitter.com,"RT @NRL: STILL IN THE HUNT 🦈

#NRLSharksBroncos https://t.co/DG4yVOv0In",2011-04-05 13:38:27,Idi Dada 🐦🦜🦉,429,"Mach mit, Mach's nach, Mach's besser !!!!!",,#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.115604885,0.8314263,0.0529688
1431570973971533824,2021-08-28 10:54:52,"NRLStormEels, NRLSharksBroncos",en,0,Twitter for Android,http://twitter.com/download/android,#NRLStormEels #NRLSharksBroncos Have a question for those in the crowd at Suncorp. Did many people leave after the… https://t.co/VbOgfvl9mL,2009-05-17 05:20:56,Ian Gorton Esq 🇦🇺🏏🏉☕,460,"- Warehouse Warrior
- Bachelor
- Atheist
- Uncle 
- Ginger
- Cricket Tragic 🏏
- Rugby League lover 🏉 
- Lover of music 🎶 Movies 🎥 & Coffee ☕
- Anti lunacy","Newcastle, New South Wales",#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.14710085,0.8233899,0.029509258
1431567749482827778,2021-08-28 10:42:03,,en,0,Twitter for Android,http://twitter.com/download/android,".
Milf Cro
Milf Cro
Milf Cro
Milf Drdn
Milf Drdn
Cro Drdn
Cro Drdn
Milf Gam
Milf Gam
Milf Gam
Kel Gam
Milf Kel
Kel… https://t.co/WyUqAdEXvx",2021-05-17 13:17:50,NRL Guru,5,i know boats,,#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.14060085,0.823668,0.03573115
1431566372576792577,2021-08-28 10:36:35,NRLSharksBroncos,en,5,Twitter for iPhone,http://twitter.com/download/iphone,"RT @FOXNRL: Great to see Andrew Fifita cheering on from the sideline 👏

#NRLSharksBroncos
📝 BLOG https://t.co/iZZsOIwIqg 
📲 MATCH CENTRE ht…",2013-11-08 10:48:09,Ashlee,2164,Sports fanatic that swears too much.,"Sydney, New South Wales",#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.0016913931,0.05806714,0.9402415
1431566001817022470,2021-08-28 10:35:06,NRLSharksBroncos,en,4,Twitter for iPhone,http://twitter.com/download/iphone,"RT @brisbanebroncos: The @DeadlyChoices socks look 🔥 with the white jersey

#NRLSharksBroncos https://t.co/syVo6NkF9Q",2017-10-11 20:03:59,yarrieyarns,912,"Yarns for inspiration, motivation, education, empowerment and reconciliation from Australia’s First Nations People. #livepositive #postpositive","Queensland, Australia",#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.0040261494,0.25464642,0.74132746
1431564823096008707,2021-08-28 10:30:25,,en,1,Twitter for Android,http://twitter.com/download/android,"RT @sportingnewsau: “He’s a bit disappointed in there I think...""

Walters questions crucial sin-binning, praises rookies following loss to…",2009-03-23 05:21:20,Josh Bird,349,,G.C,#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.5441956,0.42474434,0.03106007
1431563539349590017,2021-08-28 10:25:19,"9WWOS, NRL, NRLSharksBroncos",en,2,Twitter Web App,https://mobile.twitter.com,"RT @wwos: Sharks continue to swim! 🦈🦈

Their finals hopes are still well and truly alive. 🏉

#9WWOS #NRL #NRLSharksBroncos https://t.co/xtK…",2012-05-04 08:13:07,stratos salamanis,271,,"Canberra, Australia",#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.0033748548,0.17526849,0.8213566
1431561187041308674,2021-08-28 10:15:58,,en,1,TweetDeck,https://about.twitter.com/products/tweetdeck,"“He’s a bit disappointed in there I think...""

Walters questions crucial sin-binning, praises rookies following los… https://t.co/v15NDrUPEW",2009-04-02 11:40:11,Sporting News Australia,14076,"Bringing you the sports stories you want to hear. Covering the NRL, AFL, Football, Rugby, Cricket, NBA and more.",Australia,#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.5495605,0.4194145,0.03102503
1431560824334680064,2021-08-28 10:14:32,,en,0,Twitter for Android,http://twitter.com/download/android,"Storm hunting 20 wins in a row, just like the Oakland A's. 

I'm getting big Moneyball feels from this game. 

Just… https://t.co/9kI0U0YB0S",2021-02-27 05:30:51,Mailman,22,"📫Because the mailman always delivers📫    
🏀🏈⚽🏉🏇🥊💸💰🤑🤑
NBL, NRL, NBA, UFC, Thoroughbreds & greyhounds.
📩By request.",,#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.069622226,0.4821626,0.44821522
1431560471014895619,2021-08-28 10:13:08,,en,1,Twitter for Android,http://twitter.com/download/android,"RT @Angus_Lachie: The loss sucks, but I can swallow not getting belted with 12 on the field for 20 minutes, there’s positive signs there. W…",2009-03-23 05:21:20,Josh Bird,349,,G.C,#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.39031282,0.4475117,0.1621755
1431559524800872453,2021-08-28 10:09:22,,en,2,Twitter for iPhone,http://twitter.com/download/iphone,RT @oz_bat: Underway in the first game of the @NRL doubleheader at Lang Park between @Cronulla_Sharks &amp; @brisbanebroncos on @abcsport with…,2012-01-31 12:36:56,matthew calkin,906,,"Madora Bay, Perth (WA)",#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.02091974,0.94530404,0.033776242
1431558484542164994,2021-08-28 10:05:14,NRLSharksBroncos,en,0,Twitter for iPhone,http://twitter.com/download/iphone,I saw a easts player do a late shot on Cameron Murray last night and no penalty. But that’s easts #NRLSharksBroncos,2013-06-22 05:39:57,Chris Jordan,56,,,#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.17850679,0.7421657,0.079327576
1431557527393562630,2021-08-28 10:01:26,,en,0,Twitter for Android,http://twitter.com/download/android,@MattMoylansLegs The @NRL saw fit to have OUR home game at the Broncs home field AGAINST the BRONCS? Disrespect on… https://t.co/Ns02eBEshW,2012-04-11 06:02:45,David Neill,212,"Body in Seoul, soul in Sydney.",,#NRLSharksBroncos,2021-08-28 12:15:30.414573,Australia,0.7639309,0.21983124,0.016237788
