tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1431591314475274244,2021-08-28 12:15:41,,en,2,Twitter for Android,http://twitter.com/download/android,"RT @TheParraEels: PARRA'S ON FIRE 🔥

We can't get you tonights team song! However, here's a compilation of our fave song moments from the y…",2012-11-16 10:07:36,Dave Randall,2094,Rip George my beautiful boy you left a paw print on my heart and will be forever loved XXX,Singleton Nsw Australia,#NRLStormEels,2021-08-28 12:15:30.414573,Australia,0.023786051,0.3370512,0.6391627
1431591246397542404,2021-08-28 12:15:25,,en,2,Twitter Web App,https://mobile.twitter.com,"RT @TheParraEels: PARRA'S ON FIRE 🔥

We can't get you tonights team song! However, here's a compilation of our fave song moments from the y…",2009-03-22 07:29:38,MrChris007,284,"Dance music, Tv, Technology, 70's 80's & 90' music & movies you name it I like it !! & photography, all opions expressed are my own views.....","Sydney, Australia",#NRLStormEels,2021-08-28 12:15:30.414573,Australia,0.023786051,0.3370512,0.6391627
1431591200054595586,2021-08-28 12:15:14,"PARRAdise, NRLStormEels",en,0,Twitter for iPhone,http://twitter.com/download/iphone,"What a performance. Strap in. #PARRAdise #NRLStormEels
@TheParraEels https://t.co/sZoYfYHcub",2009-03-24 05:34:41,Chris O'Hearn,744,Publicist in music & Mgt for @ianmossmusic #DonWalker & @lachlanedwards_ at ThrillHill Music. Instagram: chrisohsyd,"Sydney, Australia",#NRLStormEels,2021-08-28 12:15:30.414573,Australia,0.0045373808,0.07857918,0.91688347
1431591143238557700,2021-08-28 12:15:00,,en,2,Twitter Media Studio,https://studio.twitter.com,"PARRA'S ON FIRE 🔥

We can't get you tonights team song! However, here's a compilation of our fave song moments from… https://t.co/WbbzuSniMr",2010-05-22 07:03:06,Parramatta Eels,72121,Blue & Gold since 1947. #PARRAdise,Parramatta,#NRLStormEels,2021-08-28 12:15:30.414573,Australia,0.0067775757,0.13855545,0.854667
1431591109277335558,2021-08-28 12:14:52,NRLStormEels,en,0,Twitter for iPhone,http://twitter.com/download/iphone,Why bring Paps back? Hynes would have won them the game Storm hasn’t been playing well since he returned #NRLStormEels,2009-04-25 06:18:57,ShootingStar,1342,"I am apart of a theatre group called @indelability with a few friends of mine, I still love @DeltaGoodrem & @rachaeleahcar they inspire me,","Brisbane, Queensland",#NRLStormEels,2021-08-28 12:15:30.414573,Australia,0.59570915,0.36991987,0.034370936
1431591037198209024,2021-08-28 12:14:35,"PARRAdise, NRLStormEels",en,82,Twitter for Android,http://twitter.com/download/android,"RT @TheParraEels: Gave it our all 💙💛

#PARRAdise #NRLStormEels https://t.co/IwgwTje6W1",2021-08-06 21:55:33,I DT Fatai,1,"Nothing major. Just here to be funny 
👀🤦🏻‍♂️😂","Auckland, New Zealand",#NRLStormEels,2021-08-28 12:15:30.414573,Australia,0.004395422,0.21566176,0.7799428
1431590989290819593,2021-08-28 12:14:24,"PARRAdise, NRLStormEels",en,30,Twitter for iPhone,http://twitter.com/download/iphone,"RT @TheParraEels: For our supporters tonight 🥺 Lessgoooo

#PARRAdise #NRLStormEels https://t.co/lpyws8X9Fh",2012-12-16 06:11:49,sam,864,"fan of the celtics,patriots,red sox and mighty parramatta eels","Sydney,australia ",#NRLStormEels,2021-08-28 12:15:30.414573,Australia,0.04175359,0.55662405,0.40162233
1431590942465691651,2021-08-28 12:14:13,nrlStormEels,en,3,Twitter for iPhone,http://twitter.com/download/iphone,"RT @billyhad: No sivo, opacic, mahony, RCG, Matterson. 
We never get these mentions

#nrlStormEels",2015-02-25 01:38:34,Mr Grumpy Eel 🥃🥩🥓🇦🇺,731,"#PARRAdise Fomer Aussie Soldier, Veteran, ink 💉 rum 🥃 and 🏍💀 Harley Davidson.",Straya,#NRLStormEels,2021-08-28 12:15:30.414573,Australia,0.52312195,0.43068802,0.046190012
1431590838870548486,2021-08-28 12:13:48,"PARRAdise, NRLStormEels",en,30,Twitter for Android,http://twitter.com/download/android,"RT @TheParraEels: For our supporters tonight 🥺 Lessgoooo

#PARRAdise #NRLStormEels https://t.co/lpyws8X9Fh",2016-08-22 20:06:20,Aussie Stu,838,Parramatta Eels fanatic and 4 time World Grand Champion Farter. #parrapride,,#NRLStormEels,2021-08-28 12:15:30.414573,Australia,0.04175359,0.55662405,0.40162233
1431590790816415748,2021-08-28 12:13:36,"TelstraPremiership, NRLStormEels",en,1,Twitter for Android,http://twitter.com/download/android,"RT @NRL: The Parramatta Eels put an end to the streak! 😱

#TelstraPremiership Moment of the Match #NRLStormEels https://t.co/vR861zjXtL",2021-06-07 04:07:28,Oliver Klozov,1,Treat people how you want to be treated!,,#NRLStormEels,2021-08-28 12:15:30.414573,Australia,0.06038275,0.67506444,0.2645528
