tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1426518054649933831,2021-08-14 12:16:22,,en,0,Twitter for Android,http://twitter.com/download/android,@TeamWizkidFc @wizkidayo Veronica’s love story left her with a painful scar which made her go through life seeing P… https://t.co/mLHT2lKDXd,2011-04-29 01:32:53,JA Asuquo,3875,"Actor, Writer, Electrical and Electronics Engineer (Power System)",Lagos Uyo Calabar Owerri Abuja,#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.6400066,0.33898553,0.02100782
1426518046492041226,2021-08-14 12:16:20,,en,0,Twitter for Android,http://twitter.com/download/android,"After this pandemic (whatever that means), I'm never pushing off, for tomorrow, the things that I want today!… https://t.co/dCeBdT2GYN",2018-01-24 00:24:08,"Regards, Nique",10,"iCreate 💫
iConsult 👩🏾‍🏫
iWorkout 🏋🏾‍♀️
iMom 👶🏾👶🏾",,#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.10448729,0.45350996,0.4420027
1426518026275344384,2021-08-14 12:16:15,,en,13,Twitter for Android,http://twitter.com/download/android,"RT @krupali_bhuvad: Denigration of d Flags is an insult to the Nation!

Would u call this expressing ur repect for d flag ?

An insult to d…",2021-07-19 13:11:33,Sushma.K.R,9,,,#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.74045175,0.24804491,0.0115033975
1426517989688545286,2021-08-14 12:16:06,,en,0,Twitter for Android,http://twitter.com/download/android,@kaikaikitan Veronica’s love story left her with a painful scar which made her go through life seeing Paul in every… https://t.co/a4t6qBNB3s,2011-04-29 01:32:53,JA Asuquo,3875,"Actor, Writer, Electrical and Electronics Engineer (Power System)",Lagos Uyo Calabar Owerri Abuja,#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.6295756,0.35073185,0.019692527
1426517951797096448,2021-08-14 12:15:57,"SaturdayThoughts, Who_Has_Seen_God",und,35,Twitter for Android,http://twitter.com/download/android,"RT @EarthToHeaven_: #SaturdayThoughts
#Who_Has_Seen_God ❓ https://t.co/t3XRIyznd8",2017-12-09 13:03:28,R.D. Shahpura🇮🇳,1053,"#जीव हमारी #जाति है, #मानव_धर्म हमारा!                                                
#हिंदू #मुस्लिम #सिक्ख #ईसाई, #धर्म नहीं कोई न्यारा!!
@SaintRampalJiM","Bhilwara, India",#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.03400913,0.8014542,0.1645367
1426517937976922115,2021-08-14 12:15:54,,en,0,Twitter for Android,http://twitter.com/download/android,@kharentotxmoo Veronica’s love story left her with a painful scar which made her go through life seeing Paul in eve… https://t.co/Ac2KQjfRRg,2011-04-29 01:32:53,JA Asuquo,3875,"Actor, Writer, Electrical and Electronics Engineer (Power System)",Lagos Uyo Calabar Owerri Abuja,#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.62500846,0.354146,0.02084552
1426517888706301956,2021-08-14 12:15:42,"SaturdayThoughts, HowToBeHappy, ज्ञान_गंगा",en,16,Twitter for Android,http://twitter.com/download/android,"RT @PriyaRa10514162: #SaturdayThoughts

#HowToBeHappy

Visit Satlok Ashram Youtube Channel to get Sat Gyan

#ज्ञान_गंगा

👇👁️👁️ See this vid…",2019-09-16 11:36:52,शोभा पाटिल,291,Kabir is supreme god,"इंदौर, भारत",#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.017643197,0.6570377,0.32531914
1426517870805094408,2021-08-14 12:15:38,"GoldenBoy, NeerajChopra",en,321,Twitter for Android,http://twitter.com/download/android,"RT @adgpi: “Life is a canvas, and you are the masterpiece.” 

Illustration of the #GoldenBoy #NeerajChopra on canvas by his fans.

Credits-…",2020-07-04 14:36:36,Zehra Yousuf,72,,,#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.017546497,0.5774265,0.4050271
1426517860084588557,2021-08-14 12:15:35,SaturdayThoughts,en,2,Natrella Bot,https://getnatrella.com/,"RT @Simon_19526: Hope for this or hope for that. You can sit and hope forever.

Hope without action is futile.

#SaturdayThoughts 
#Saturda…",2017-08-09 16:34:09,Natrella Bot,2399,"A friendly BOT here to help you celebrate and take pride in your self-care moments! 💛 
Check out our free #selfcare app! 🤗✨🌟👋",All Over The World,#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.17363411,0.59039223,0.23597366
1426517800177180672,2021-08-14 12:15:21,SaturdayThoughts,hi,4,Twitter for Android,http://twitter.com/download/android,"RT @Mohan13520563: #SaturdayThoughts
सत्यनाम ही वो पाप नाशक मंत्र है, जिसके सुमिरन से सभी आर्थिक, मानसिक व शारीरिक कष्ट मिट जाते हैं। वर्त…",2020-06-27 08:01:47,Er.Rajat.Das.,435,"जीव हमारी जाति है,मानव धर्म हमारा!! हिंदू मुस्लिम सिख ईसाई,धर्म नहीं है न्यारा!!🌻👑🙇 WORLD VICTORIOUS SAINT RAMPAL JI🌻👑🙇सत साहेब🙏",www.jagatgururampalji.org,#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.13621932,0.82584125,0.037939455
1426517798218452995,2021-08-14 12:15:21,SaturdayThoughts,en,8,Twitter for Android,http://twitter.com/download/android,"RT @JaydevSaha7: @SaintRampalJiM #SaturdayThoughts 
Maghar Leela by Lord Kabir

As guided by Lord Kabir, Hindus and Muslims in Maghar live…",2021-07-21 05:07:44,Kishor Dass,10,Follow,,#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.024803441,0.9358226,0.039373964
1426517790597414914,2021-08-14 12:15:19,SaturdayThoughts,en,6,Twitter for Android,http://twitter.com/download/android,"RT @DuggalKailash: #SaturdayThoughts
IN THIS BOOK
YOU WILL FIND ALL THE INFORMATION
ABOUT -

WHO IS COMPLETE GOD?
WHAT IS HIS NAME?
WHAT IS…",2020-06-27 08:01:47,Er.Rajat.Das.,435,"जीव हमारी जाति है,मानव धर्म हमारा!! हिंदू मुस्लिम सिख ईसाई,धर्म नहीं है न्यारा!!🌻👑🙇 WORLD VICTORIOUS SAINT RAMPAL JI🌻👑🙇सत साहेब🙏",www.jagatgururampalji.org,#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.096840784,0.77069265,0.13246652
1426517784683454465,2021-08-14 12:15:17,"GodMorningSaturday, SaturdayThoughts, HowToBeHappy",hi,15,Twitter for Android,http://twitter.com/download/android,"RT @RajKuma66904967: #GodMorningSaturday
#SaturdayThoughts
#HowToBeHappy
Sant Rampal Ji Maharaj https://t.co/n7EoP1on7n",2020-06-23 11:05:58,Rambabu Dass,279,dass,,#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.0067331367,0.3753306,0.6179363
1426517780241608711,2021-08-14 12:15:16,SaturdayThoughts,en,7,Twitter for Android,http://twitter.com/download/android,"RT @DuggalKailash: #SaturdayThoughts
WITHOUT THE REFUGE
OF GURU, 'NAAM' CANNOT BE OBTAINED AND SALVATION IS NOT POSSIBLE.

TO KNOW, MUST RE…",2020-06-27 08:01:47,Er.Rajat.Das.,435,"जीव हमारी जाति है,मानव धर्म हमारा!! हिंदू मुस्लिम सिख ईसाई,धर्म नहीं है न्यारा!!🌻👑🙇 WORLD VICTORIOUS SAINT RAMPAL JI🌻👑🙇सत साहेब🙏",www.jagatgururampalji.org,#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.57340986,0.39803338,0.028556768
1426517756724273153,2021-08-14 12:15:11,"SaturdayMotivation, SaturdayThoughts, SaturdayVibes",und,0,Twitter for iPhone,http://twitter.com/download/iphone,#SaturdayMotivation #SaturdayThoughts #SaturdayVibes https://t.co/GrXrrwfgr6,2013-11-09 03:54:21,Anil Bhate,113,I play electric guitar. Rock & Metal music \m/.,"Illinois, USA",#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.0056216717,0.6468027,0.3475756
1426517747832217601,2021-08-14 12:15:09,GodMorningSaturday,en,11,Twitter for Android,http://twitter.com/download/android,"RT @RammeharDas2: #GodMorningSaturday
If after attaining human body and not doing true bhakti, we are going in the cycle of eighty four lak…",2020-03-22 06:14:07,Jyoti poonia,224,,,#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.32971358,0.6373848,0.03290165
1426517738596364291,2021-08-14 12:15:06,,hi,4,Twitter for Android,http://twitter.com/download/android,"RT @SaiKulkarni13: Live Started...

🌍 धर्मसंवाद : स्वतंत्रता दिवस विशेष ! (पुनर्प्रसारण)

🔸 राष्ट्रध्वज का सम्मान कैसे करें ?
🔸 सुराज्य नि…",2020-04-30 17:12:34,Rupali,44,,,#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.13820083,0.82657075,0.035228435
1426517721571729421,2021-08-14 12:15:02,SaturdayThoughts,en,185,Twitter for Android,http://twitter.com/download/android,"RT @VisheshDas11: #SaturdayThoughts Supreme God Kabir comes to this world 🌎 for some time ⏲️ to perform a divine act.
---- Saint Rampal Ji…",2021-01-24 09:20:48,anjali dasi,47,kabir is god,jarkhand,#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.0062032654,0.79028267,0.20351405
1426517718237384704,2021-08-14 12:15:02,"MUNLEE, MUFC, SaturdayMorning, SaturdayThoughts, Gaming, gamer, pc, gamergirl, pcgaming",und,0,Dog Cheap Bargains,https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels,"https://t.co/8hlrQ4zO5A

#MUNLEE #MUFC #SaturdayMorning #SaturdayThoughts #Gaming #gamer #pc #gamergirl #pcgaming… https://t.co/LKc0nWNoYi",2020-07-15 19:43:25,Dog Cheap Bargains,38,"We love bargains, coupons, free and share.",,#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.08489753,0.80466,0.11044246
1426517712633831428,2021-08-14 12:15:00,"SaturdayMotivation, SaturdayMorning",en,16,Twitter for Android,http://twitter.com/download/android,"RT @BethFratesMD: Time is more precious than gold.
Be careful how you use it.
Don't waste it...💛

#SaturdayMotivation #SaturdayMorning #Sat…",2016-02-02 23:21:37,Joseph J. Lost in space and time.,17575,"Truth above all else. 
Science, Arts, Poetry, Classic music,
Agnostic
NO DM, I READ but don't respond","Brookfield, IL",#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.062988095,0.5537516,0.38326034
1426517708292558849,2021-08-14 12:14:59,"SaturdayThoughts, Who_Has_Seen_God",und,35,Twitter for Android,http://twitter.com/download/android,"RT @EarthToHeaven_: #SaturdayThoughts
#Who_Has_Seen_God ❓ https://t.co/t3XRIyznd8",2021-01-24 09:08:16,Arjun Dass,424,,,#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.03400913,0.8014542,0.1645367
1426517705071366152,2021-08-14 12:14:58,,en,13,Twitter for Android,http://twitter.com/download/android,"RT @Spiritualworl15: If you are depressed because of the past, do not damage your present and the future.
Must read ""Way of Living"" to live…",2019-09-16 11:36:52,शोभा पाटिल,291,Kabir is supreme god,"इंदौर, भारत",#SaturdayThoughts,2021-08-14 12:15:39.575679,United States,0.43544984,0.4757983,0.088751875
