tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1423981408633163776,2021-08-07 12:16:38,"SaturdayVibes, dogsoftwitter",en,1,Twitter for Android,http://twitter.com/download/android,RT @DiggersDigby: Happy Saturday to all my friends !! Have a great day ! I hope you like my action shot?! #SaturdayVibes #dogsoftwitter htt…,2017-05-19 00:33:25,Penny Jackson,1233,"5-18-2017 MY 3RD TWITTER ACCOUNT! LOVE GOD, FAMILY, COUNTRY, AND HELPING ALL ANIMALS AND PEOPLE IN HONEST, GODLY, PEACEFULL WAYS! MY 2nd twitter acct is active",,#SaturdayVibes,2021-08-07 12:16:10.089293,United States,0.0009873079,0.010185678,0.988827
1423981405000896514,2021-08-07 12:16:37,"SMG, SaturdayVibes, MsakatiLomuhle",et,8,Twitter for Android,http://twitter.com/download/android,RT @TboyMP: Sangena kwavala on Radio @ligwalagwalaFM its Sisonke Midday Grooves #SMG Nidlani Lapho? #SaturdayVibes #MsakatiLomuhle https://…,2010-07-18 02:35:54,Sir James Moyana,12266,"I love music,music is life. As a parent you always have to show up 🙏","Pretoria, South Africa 🇿🇦",#SaturdayVibes,2021-08-07 12:16:10.089293,United States,0.03804205,0.910192,0.051765945
1423981398055014406,2021-08-07 12:16:36,,en,520,Twitter for Android,http://twitter.com/download/android,"RT @HumanityWarior7: Helping Others make you feel Happier and more Fulfilled.
Millions of Dera Sacha Sauda followers save 1 Rupee Coin per…",2021-05-23 15:38:17,Isha,0,,,#SaturdayVibes,2021-08-07 12:16:10.089293,United States,0.012708112,0.34430957,0.64298236
1423981397560135688,2021-08-07 12:16:36,"Saturday, SaturdayVibes, SaturdayMorning, SaturdayThoughts, SaturdayMotivation, nature, naturelover",en,3,Twitter Web App,https://mobile.twitter.com,"RT @correachris_: #Saturday 
#SaturdayVibes 
#SaturdayMorning 
#SaturdayThoughts 
#SaturdayMotivation 
#nature 
#naturelover 
#naturephotog…",2017-08-17 22:03:16,"Rihilism, Esq., Professional Dilettante 🏳️‍🌈",343,"Hon. Prof. Dilettantory Studies, Tweeter U (Intertubes ext. campus)... amateur pics. pics own/unless indicated. he/him/his #EndTheStigma #gardenvicariously","Ioway, Midwest, U.S.",#SaturdayVibes,2021-08-07 12:16:10.089293,United States,0.013742964,0.6472143,0.33904272
1423981374231490565,2021-08-07 12:16:30,"goodmorning, saturdayvibes, regulate, babyboy, music",und,0,Instagram,http://instagram.com,#goodmorning #saturdayvibes #regulate #babyboy #music https://t.co/ClTC4EfAmN,2015-02-14 21:21:07,TalkAboutItRAP,255,#Rap/#HipHop is more than words.We are a #Rap outlet. Talkaboutitrap@gmail.com,East Coast,#SaturdayVibes,2021-08-07 12:16:10.089293,United States,0.0034611856,0.23716612,0.7593727
1423981360478244870,2021-08-07 12:16:27,,en,544,Twitter for Android,http://twitter.com/download/android,"RT @HumanityWarior7: One who Helps others are abundantly Blessed.
With the inspiration of Saint Dr. @Gurmeetramrahim Ji, volunteers of DSS…",2021-05-23 15:38:17,Isha,0,,,#SaturdayVibes,2021-08-07 12:16:10.089293,United States,0.0034295889,0.22984521,0.7667251
1423981329570570246,2021-08-07 12:16:19,"giftideas, stockingfillers",en,5,Twitter for iPhone,http://twitter.com/download/iphone,RT @pencilpencil_: Happy Saturday! Sharing some pencils &amp; magnets today for those looking for #giftideas or even #stockingfillers ✏️🎄 #Shop…,2021-03-09 13:43:00,My Helpful Hints Small Business Directory,709,#MHHSBD Admin Team @MyHelpfulHints_ 💡 @Ness_SeaGlass 🦕 @GlassCrafty 🌸 @ChapelSoap 🛀 @TwystedRoots 🌿,Everywhere on your timeline,#SaturdayVibes,2021-08-07 12:16:10.089293,United States,0.0007220057,0.032737263,0.96654075
1423981295810584576,2021-08-07 12:16:11,SaturdayVibes,en,0,Twitter for iPhone,http://twitter.com/download/iphone,"“If you dream it, you can do it.”~ Walt Disney #SaturdayVibes https://t.co/OkoPuJSTjk",2013-12-13 15:36:47,Mita,728,Social Marketer | Food | Mixology | My views only,,#SaturdayVibes,2021-08-07 12:16:10.089293,United States,0.0042599062,0.23132361,0.7644165
1423981266827988997,2021-08-07 12:16:04,MHHSBD,en,7,Twitter for iPhone,http://twitter.com/download/iphone,"RT @BadgerCrafty: Crafty Badger loves the Beatles and has been designing a new Let it Bee range 🐝 … 

👉 https://t.co/tKLy7H8kV7

#MHHSBD #O…",2021-03-09 13:43:00,My Helpful Hints Small Business Directory,709,#MHHSBD Admin Team @MyHelpfulHints_ 💡 @Ness_SeaGlass 🦕 @GlassCrafty 🌸 @ChapelSoap 🛀 @TwystedRoots 🌿,Everywhere on your timeline,#SaturdayVibes,2021-08-07 12:16:10.089293,United States,0.004174415,0.17458943,0.8212362
1423981254131736576,2021-08-07 12:16:01,"dogsoftwitter, dogs, Pets",en,8,Twitter for iPhone,http://twitter.com/download/iphone,"RT @BadgerCrafty: #dogsoftwitter especially for you guys with #dogs #Pets

Crafty has designed mugs for all Dog Dads and Dog Moms 😀

👉 http…",2021-03-09 13:43:00,My Helpful Hints Small Business Directory,709,#MHHSBD Admin Team @MyHelpfulHints_ 💡 @Ness_SeaGlass 🦕 @GlassCrafty 🌸 @ChapelSoap 🛀 @TwystedRoots 🌿,Everywhere on your timeline,#SaturdayVibes,2021-08-07 12:16:10.089293,United States,0.008310841,0.4075606,0.58412856
