tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1423981323367055361,2021-08-07 12:16:18,"AFLSaintsSwans, bloods",en,0,Twitter for iPhone,http://twitter.com/download/iphone,Swans were due. Been a tough few weeks on the road. Reset for the run to finals #AFLSaintsSwans #bloods,2013-12-23 09:07:46,Cam Reddin,1345,25 | 2GB Producer w/ Ben Fordham + Reporter/Presenter | Breaking Politics podcast | I can do all things through Christ who strengthens me | 0407 893 854,"Sydney, Australia",#bloods,2021-08-07 12:16:10.089293,Australia,0.27599305,0.6225051,0.10150181
1423981009339437059,2021-08-07 12:15:03,Bloods,en,0,Twitter for Android,http://twitter.com/download/android,"Our kicking tonight has been shocking! Out played from the start, and hope this re-starts us for the last part of the season! #Bloods",2015-06-02 01:22:32,Bradley Ower,152,Addicted to ⚽️ & ☕️,🇦🇺,#bloods,2021-08-07 12:16:10.089293,Australia,0.47463137,0.33776772,0.18760087
1423980772789145605,2021-08-07 12:14:07,bloods,en,1,Twitter for iPhone,http://twitter.com/download/iphone,RT @urthboy: Swannies only just reunited with their partners and kids. They're in that chill space ☺️ #bloods,2015-08-23 05:23:06,Imo,3209,I'm an exceptional narcissist. 🤖 👑        she/her,likely on PT complaining,#bloods,2021-08-07 12:16:10.089293,Australia,0.0028213952,0.12543695,0.87174165
1423980654149050370,2021-08-07 12:13:38,"AFLSaintsSwans, Bloods",en,0,Twitter for iPhone,http://twitter.com/download/iphone,"I think this was a good wake up call that the Swans needed heading into finals. Well played Saints #AFLSaintsSwans 
#Bloods",2019-03-31 09:23:21,Bloods Of Old,202,👁 🦢 #ProudlySydney Terrigal Avoca Panthers’ Under 16’s 2005 Vice Captain. Bloods Of Old Podcast👇🏻#Bloods,"Sydney, New South Wales",#bloods,2021-08-07 12:16:10.089293,Australia,0.0030432073,0.0573929,0.93956393
1423980414222274561,2021-08-07 12:12:41,"PrideGame, Bloods",en,17,Tweetbot for Mac,https://tapbots.com/software/tweetbot/mac,"RT @sydneyswans: This is WHY 🌈
#PrideGame #Bloods https://t.co/V9qcUtLGAu",2009-04-29 11:02:56,Peter McBain,131,,albuquerque,#bloods,2021-08-07 12:16:10.089293,Australia,0.010800758,0.4314127,0.5577866
1423980279694184460,2021-08-07 12:12:09,bloods,en,0,Twitter for iPhone,http://twitter.com/download/iphone,"Oh well, been a hell of a year. Regroup for next week boys. #bloods  great effort Saints, pressure was brilliant.",2011-06-25 02:55:21,Damien E,445,"Sydney Swans, Politics, Hobart Hurricanes, Liverpool FC, Illawarra Hawks, NY Giants, for a Tasmanian AFL team",Sydney,#bloods,2021-08-07 12:16:10.089293,Australia,0.04080916,0.18513088,0.77406
1423980244839452679,2021-08-07 12:12:01,"bloods, AFLSaintsSwans",en,0,Twitter for iPhone,http://twitter.com/download/iphone,A bit like the Hawks game. The worse the oppositions the worse we play #bloods #AFLSaintsSwans,2009-02-16 08:22:00,Dan Murrell,97,Mostly here for the footy,Sydney - Australia,#bloods,2021-08-07 12:16:10.089293,Australia,0.89028245,0.1003686,0.009349024
1423979996779929603,2021-08-07 12:11:02,Bloods,en,0,Twitter for Android,http://twitter.com/download/android,The round of upsets will continue and the 5 game win streak will end. #Bloods,2018-02-04 03:17:12,Tyler Villagra #17🏆 (RIP BLACK MAMBA 26/1/20🙏💔),291,"LA Lakers, Man United, NY Giants, Perth Wildcats, South Sydney Rabbitohs, Sydney Swans member 2021. Nikola Vucevic Stan. Kobe Bryant, Adam Goodes = GOATS",Australia,#bloods,2021-08-07 12:16:10.089293,Australia,0.5561253,0.39304453,0.050830137
1423979978404765698,2021-08-07 12:10:57,Bloods,en,0,Twitter for iPhone,http://twitter.com/download/iphone,Ahh well. Footy sucks anyway! 😉🤣 #Bloods,2009-05-28 13:33:35,Kitch 🇦🇺,742,"https://t.co/n3k11WDK1Q | Mostly #IndyCar racing & Sydney Swans footy. Also: travel, White Sox, NY Giants & more. Proud Sydneysider & Australian.","Sydney, Australia",#bloods,2021-08-07 12:16:10.089293,Australia,0.8887171,0.092028566,0.019254355
1423979816835977221,2021-08-07 12:10:19,bloods,en,1,Twitter for Android,http://twitter.com/download/android,Swannies only just reunited with their partners and kids. They're in that chill space ☺️ #bloods,2009-03-10 22:56:46,Urthboy,18718,Artist / Manager / Label,Gadigal Land,#bloods,2021-08-07 12:16:10.089293,Australia,0.0031887798,0.11190785,0.8849034
1423979053594279947,2021-08-07 12:07:17,"AFLSaintsSwans, Bloods",en,0,TweetDeck,https://about.twitter.com/products/tweetdeck,"😐

Saints with the goal.
The margin now 23 points.

#AFLSaintsSwans #Bloods",2008-11-27 05:24:59,Sydney Swans,100292,The Official Twitter account of the Sydney Swans. Join our club: https://t.co/lkN4dAt1jx,,#bloods,2021-08-07 12:16:10.089293,Australia,0.3965095,0.5642996,0.039190963
