tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1426508548280705029,2021-08-14 11:38:35,,en,0,TweetDeck,https://about.twitter.com/products/tweetdeck,The Rabbitohs moved to 3rdon differential. The Tigers jumped into 13th. The Sea Eagles and Eels swapped positions.… https://t.co/x6zinyV3Ln,2010-03-22 16:29:50,1895,1640,"Your one stop shop for Rugby League news, results & opinion from around the world",Where Rugby League is played,#nrlcowboystigers,2021-08-14 12:15:39.575679,Australia,0.030097865,0.9047256,0.06517654
1426504789198786562,2021-08-14 11:23:39,NRLCowboysTigers,en,1,Twitter for iPhone,http://twitter.com/download/iphone,"RT @NRL: NOT GIVING UP 😤

#NRLCowboysTigers @bundabergrum https://t.co/wHEZZutfmF",2020-11-07 19:26:27,Adam Marjanovic,42,🇦🇺/ 🇷🇸 #EastsToWin,Bahrain,#nrlcowboystigers,2021-08-14 12:15:39.575679,Australia,0.54116994,0.42047605,0.03835404
1426504533744656392,2021-08-14 11:22:38,,en,0,Twitter Web App,https://mobile.twitter.com,@BecharaRob I'm liking what I am seeing with young Jake. He has little bits of flair and unpredictability which Lid… https://t.co/sEjZDcKM9f,2018-12-19 02:54:59,I'm Not Joey Johns,10,"I don't play sports, I don't have a barge arse, I'm not related to Matty Johns","Cessnock, New South Wales",#nrlcowboystigers,2021-08-14 12:15:39.575679,Australia,0.0027401834,0.10934549,0.88791436
1426504222325895176,2021-08-14 11:21:24,"NRLCowboysTigers, NRL, covidnsw",en,1,Twitter Web App,https://mobile.twitter.com,"RT @iamjohnm: If the NSW Government was a game of rugby league, it might have been that #NRLCowboysTigers game. 

#NRL #covidnsw #coronavir…",2015-01-13 22:58:45,Mark Dengate,1464,,,#nrlcowboystigers,2021-08-14 12:15:39.575679,Australia,0.21570925,0.72722226,0.05706841
1426501757048295430,2021-08-14 11:11:36,nrlcowboystigers,en,0,Twitter for iPhone,http://twitter.com/download/iphone,The tigers jersey is ugly but the cowboys jersey ate 😍 #nrlcowboystigers,2013-08-05 06:14:32,𝓅𝑜𝓋 𝓈𝓉𝒶𝓃,21693,"“𝕋𝕒𝕜𝕖 𝕪𝕠𝕦𝕣 𝕓𝕣𝕠𝕜𝕖𝕟 𝕙𝕖𝕒𝕣𝕥, 𝕞𝕒𝕜𝕖 𝕚𝕥 𝕚𝕟𝕥𝕠 𝕒𝕣𝕥” ♡",,#nrlcowboystigers,2021-08-14 12:15:39.575679,Australia,0.18603,0.39449093,0.41947913
1426501452684398596,2021-08-14 11:10:24,,en,1,Twitter for Android,http://twitter.com/download/android,RT @Buschman87: Best thing about tonight according to tigers fans? A. A victory over the cowboys or B. Seeing Ryan Matterson get sent off?…,2019-09-02 05:52:53,Dean Boxall forever,1752,suck my ledecky,Honolulu ,#nrlcowboystigers,2021-08-14 12:15:39.575679,Australia,0.051410392,0.59224457,0.35634497
1426501387374923778,2021-08-14 11:10:08,,en,1,Twitter for iPhone,http://twitter.com/download/iphone,Best thing about tonight according to tigers fans? A. A victory over the cowboys or B. Seeing Ryan Matterson get se… https://t.co/Evj9gkTTtP,2018-07-04 19:26:28,Buschlyn 9Nine,328,| Husband and Father of two | Cowboys Fan | Follow back most of the time | Living the wet dream,Hee-yah ,#nrlcowboystigers,2021-08-14 12:15:39.575679,Australia,0.0070365365,0.14043415,0.85252935
1426500104412749838,2021-08-14 11:05:02,NRLCowboysTigers,en,3,Twitter for Android,http://twitter.com/download/android,"RT @FOXNRL: ""HE'S HIT THE POST!"" 

What an ending 🤯

#NRLCowboysTigers
📝 BLOG https://t.co/iZDqc3qcVo 
📲 MATCH CENTRE https://t.co/M9tNmO8O…",2021-08-14 10:54:26,Jason Cotter,0,I like football,,#nrlcowboystigers,2021-08-14 12:15:39.575679,Australia,0.14351808,0.57956845,0.2769135
1426498206548955136,2021-08-14 10:57:30,NRLCowboysTigers,en,8,Twitter for iPhone,http://twitter.com/download/iphone,"RT @thenrlroast: Alex Twal watching 2 guys get their first ever NRL tries tonight. 
#NRLCowboysTigers https://t.co/g4S8asf88a",2012-05-19 22:19:00,97 IGOR LOMBARDI,571,89 DITKA LETS FOOTY ❤️ Legend Club 01. Isabella G 02. KP Dub 03. Theodore W ❤️😍😎 #CMFT #SOAD #RATM #Hooksmob #GoSaints @FFDP,"Spinning Infinity, Australia",#nrlcowboystigers,2021-08-14 12:15:39.575679,Australia,0.019038834,0.9026889,0.07827222
1426492946984050692,2021-08-14 10:36:36,,en,1,Twitter Web App,https://mobile.twitter.com,"RT @LeagueUnlimited: @WestsTigers @nthqldcowboys @AndrewRLP Tigers 'less worse' than Cowboys to snatch victory in Townsville

@AndrewRLP's…",2011-01-01 03:12:53,Andrew Ferguson,4741,"Author/Historian/Statistician & co-owner of @rugbyleagueproj with @RLP_Shawn

Donate: https://t.co/9bdxnpwMW5

Podcast: https://t.co/Rh5c6yEPLf - @fergofreakpod",Melbourne,#nrlcowboystigers,2021-08-14 12:15:39.575679,Australia,0.65251875,0.32003435,0.027446885
1426490812578230274,2021-08-14 10:28:07,"ridemcowboys, nrl, nrlcowboystigers",und,1,Twitter for Android,http://twitter.com/download/android,RT @NewyFootyFan: #ridemcowboys #nrl #nrlcowboystigers https://t.co/AWiLpF7SD9,2018-12-04 01:19:41,CallumAri,36,6'6 108kg Centre for the mighty Newcastle Knights you know who he is  PREDATOR,,#nrlcowboystigers,2021-08-14 12:15:39.575679,Australia,0.0712197,0.8769694,0.05181082
1426490172217036802,2021-08-14 10:25:34,"NRLCowboysTigers, NRLManlyEels",en,0,Twitter for iPhone,http://twitter.com/download/iphone,Maybe the Tigers should just keep showing the players episode 2 before every remaining game? #NRLCowboysTigers #NRLManlyEels,2017-03-18 10:24:41,NRL CONSPIRACIES 🤔👀🏉,2688,If you refer to the NRL Grand Final as “The Big Dance” then we can’t be friends! Credit for avatar @BadlyDrawnRL Guyra Super Spuds,ANZ Stadium,#nrlcowboystigers,2021-08-14 12:15:39.575679,Australia,0.12842807,0.800566,0.07100587
1426489742326046722,2021-08-14 10:23:52,,en,1,TweetDeck,https://about.twitter.com/products/tweetdeck,"@WestsTigers @nthqldcowboys @AndrewRLP Tigers 'less worse' than Cowboys to snatch victory in Townsville

@AndrewRLP… https://t.co/VC3i181Cuu",2010-04-06 11:45:45,LeagueUnlimited.com,22070,"Australia's leading independent rugby league website covering the #NRL, #SuperLeague, state leagues, #Origin and @IntRL. Home of The Front Row weekly magazine",Australia,#nrlcowboystigers,2021-08-14 12:15:39.575679,Australia,0.67399347,0.30068398,0.025322508
