tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1444288023307309064,2021-10-02 13:07:52,DanNext,en,0,Twitter for Android,http://twitter.com/download/android,@SusieNoonan2 @DifficultNerd Hopefully  #DanNext,2009-06-24 04:59:55,Sarge117,77,,,#DanNext,2021-10-02 13:06:44.759519,Australia,0.025246043,0.6231867,0.35156724
1444288021747044365,2021-10-02 13:07:52,"DanNext, DanNext, DanNext, DanNext, DanNext",und,0,Twitter Web App,https://mobile.twitter.com,@CeagleChris @Wellcamp_Inmate @kangaclaw @TheRiffJet @VeeAdler #DanNext #DanNext #DanNext #DanNext #DanNext… https://t.co/tX582Yxtvg,2021-09-07 11:03:49,Victoria is dead,190,"Victoria is one strange place. Im vaxxed and don’t care whether you are or not, it was my decision. Trying to live a good life - even in lockdown.",Melbourne ,#DanNext,2021-10-02 13:06:44.759519,Australia,0.060950425,0.86008203,0.0789675
1444287975207079940,2021-10-02 13:07:41,"DanNext, DanNext, DanNext, DanNext, DanNext, DanNext, DanNext, DanNext, DanNext, DanNext, DanNext",und,15,Twitter for Android,http://twitter.com/download/android,RT @teegirlVersion2: @RipperJacqthe #DanNext #DanNext #DanNext #DanNext #DanNext #DanNext #DanNext #DanNext #DanNext #DanNext #DanNext #Dan…,2018-06-02 07:25:27,CryptoGasBag 💎🦋💎ⓋⓍⒸ☠️,443,"A Technologist, DLT & Blockchain enthusiast. What's in that Crypto Bag of yours!? Some might be harmful ! Careful now 😀👍 God Bless 🙏","New York, NY",#DanNext,2021-10-02 13:06:44.759519,Australia,0.072285034,0.8250647,0.102650315
1444287969301434377,2021-10-02 13:07:40,"DanNext, DanNext, sackdanandrews",en,0,Twitter for iPhone,http://twitter.com/download/iphone,Thankyou… #DanNext #DanNext #sackdanandrews https://t.co/c9nO8GisM6,2010-07-21 20:13:27,Tony S,120,🇦🇺  trust your instincts..,,#DanNext,2021-10-02 13:06:44.759519,Australia,0.0026593604,0.244517,0.7528236
1444287967636328449,2021-10-02 13:07:39,"DanNext, DanNext, DanNext, DanNext, DanNext",und,0,Twitter Web App,https://mobile.twitter.com,@CeagleChris @kangaclaw @Wellcamp_Inmate @TheRiffJet @VeeAdler #DanNext #DanNext #DanNext #DanNext #DanNext… https://t.co/W2wDpZEeVN,2021-09-07 11:03:49,Victoria is dead,190,"Victoria is one strange place. Im vaxxed and don’t care whether you are or not, it was my decision. Trying to live a good life - even in lockdown.",Melbourne ,#DanNext,2021-10-02 13:06:44.759519,Australia,0.049333066,0.8645529,0.08611412
1444287950045519877,2021-10-02 13:07:35,"Flutter, programming, CodeNewbies, webdevelopers, Coding, infosec, Flutter, DataScientist, AI",en,10,RetweetCodersWomen,https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels,"RT @motobeans: Importance of smaller steps.
#Flutter #programming #CodeNewbies #webdevelopers #Coding #infosec #Flutter #DataScientist #AI…",2020-11-15 11:25:09,Female Coders Bot,2081,"I'm a bot that retweets the hashtag #WomenWhoCode, #WomenInSTEM, #WomenInTech and #GirlsWhoCode. Created by @excurbia. Follow to support!",,#DanNext,2021-10-02 13:06:44.759519,Australia,0.032897536,0.6727953,0.2943072
1444287945125498887,2021-10-02 13:07:34,"DanNext, DanNext, DanNext",en,1,Twitter Web App,https://mobile.twitter.com,RT @CeagleChris: @kangaclaw @Wellcamp_Inmate @Joejoe060978 @TheRiffJet @VeeAdler it is pretty cool for a #DanNext #DanNext #DanNext #DanNex…,2021-09-07 11:03:49,Victoria is dead,190,"Victoria is one strange place. Im vaxxed and don’t care whether you are or not, it was my decision. Trying to live a good life - even in lockdown.",Melbourne ,#DanNext,2021-10-02 13:06:44.759519,Australia,0.0009420397,0.026394993,0.9726629
1444287933146533901,2021-10-02 13:07:31,"Melbourneprotest, Vicpol",en,100,Twitter for Android,http://twitter.com/download/android,RT @drcameronjones: My body my choice. The #Melbourneprotest was totally peaceful but then the mood of #Vicpol shifted 😢 to become #VicPolB…,2020-03-22 07:38:17,Capt. Klaus Schnob,570,"Over 12 months on, still shaking my head'",Dry Dock,#DanNext,2021-10-02 13:06:44.759519,Australia,0.34868357,0.52658075,0.124735706
1444287917111795720,2021-10-02 13:07:27,"Flutter, programming, CodeNewbies, webdevelopers, Coding, infosec, Flutter, DataScientist, AI",en,10,twitter-bot-fab,https://www.fabricio-dev.com.br/,"RT @motobeans: Importance of smaller steps.
#Flutter #programming #CodeNewbies #webdevelopers #Coding #infosec #Flutter #DataScientist #AI…",2013-01-01 02:32:07,Fabricio Cavalcante,3082,,Rio de janeiro,#DanNext,2021-10-02 13:06:44.759519,Australia,0.032897536,0.6727953,0.2943072
1444287901131362305,2021-10-02 13:07:23,"DanNext, DanNext, DanNext, DanNext, DanNext",und,0,Twitter Web App,https://mobile.twitter.com,@kangaclaw @CeagleChris @Wellcamp_Inmate @TheRiffJet @VeeAdler #DanNext #DanNext #DanNext #DanNext #DanNext… https://t.co/fVCEQYoMcM,2021-09-07 11:03:49,Victoria is dead,190,"Victoria is one strange place. Im vaxxed and don’t care whether you are or not, it was my decision. Trying to live a good life - even in lockdown.",Melbourne ,#DanNext,2021-10-02 13:06:44.759519,Australia,0.04776696,0.86884725,0.0833858
1444287882521309187,2021-10-02 13:07:19,DanNext,und,18,Twitter Web App,https://mobile.twitter.com,RT @danielb_15: #DanNext https://t.co/oAI5XoOQN6,2021-08-17 07:52:22,Jess_1234,19,,,#DanNext,2021-10-02 13:06:44.759519,Australia,0.05260185,0.89645046,0.050947655
1444287870743859207,2021-10-02 13:07:16,DanNext,en,0,Twitter for Android,http://twitter.com/download/android,"I am not from Australia, but I know an evil bastard when I see one. #DanNext",2009-06-14 15:25:38,Caroline Sarah,387,Totalitarianism is a form of government that attempts to assert total control over the lives of its citizens.,UK,#DanNext,2021-10-02 13:06:44.759519,Australia,0.89617485,0.095773846,0.008051321
1444287835968843776,2021-10-02 13:07:08,"Flutter, programming, CodeNewbies, webdevelopers, Coding, infosec, Flutter, DataScientist, AI",en,10,Bills Bot,https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels,"RT @motobeans: Importance of smaller steps.
#Flutter #programming #CodeNewbies #webdevelopers #Coding #infosec #Flutter #DataScientist #AI…",2021-02-24 08:49:15,Bills Bot,566,"I'm a Bot🤖, retweets #100daysofcode #30daysofcode. Created by @sofibilal193.",Jammu And Kashmir,#DanNext,2021-10-02 13:06:44.759519,Australia,0.032897536,0.6727953,0.2943072
1444287835826098185,2021-10-02 13:07:08,DanNext,en,5,Twitter for Android,http://twitter.com/download/android,"RT @RipperJacqthe: Street party when he falls 

#DanNext",2021-09-19 21:40:13,Julia,47,,,#DanNext,2021-10-02 13:06:44.759519,Australia,0.23954949,0.7094135,0.051036943
1444287833418645520,2021-10-02 13:07:07,"Flutter, programming, CodeNewbies, webdevelopers, Coding, infosec, Flutter, DataScientist, AI",en,10,xael bot,https://yathinbabu.github.io,"RT @motobeans: Importance of smaller steps.
#Flutter #programming #CodeNewbies #webdevelopers #Coding #infosec #Flutter #DataScientist #AI…",2019-05-13 06:56:12,xael bot,5151,"A bot, I like and retweet on #100DaysOfCode. Block if don't want to be retweeted. Created by @yathinweb",Earth,#DanNext,2021-10-02 13:06:44.759519,Australia,0.032897536,0.6727953,0.2943072
