tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1444288748955467778,2021-10-02 13:10:45,GodMorningSaturday,hi,3,Twitter for Android,http://twitter.com/download/android,"RT @Mohandas010: 🌅 #GodMorningSaturday
कबीर परमेश्वर जी हृदय से चाहने वाले श्रद्धा से भक्ति करने वाले को तीन मन्त्र का उपदेश देते हैं।

#Sa…",2021-03-07 11:59:40,Yuvraj Daas,377,,,#SaturdayMorning,2021-10-02 13:06:44.759519,United States,0.08307511,0.87085354,0.046071365
1444288744681398276,2021-10-02 13:10:44,SaturdayMorning,en,0,Twitter for iPhone,http://twitter.com/download/iphone,"Weak’s over 😁.
 #SaturdayMorning https://t.co/JiOnaLfbIC",2015-05-25 21:32:21,bartika,416,Leftover candy.,"Yaletown, Vancouver",#SaturdayMorning,2021-10-02 13:06:44.759519,United States,0.009827825,0.32776847,0.6624037
1444288729833746433,2021-10-02 13:10:41,,en,1,Twitter Web App,https://mobile.twitter.com,RT @SoUWanaBaSinger: You can get in a good vocal warmup without waking the whole house. Here's how: https://t.co/cuJZUsNHta  via @YouTube #…,2011-03-26 16:36:55,Robert Anton,506,"Advice on becoming a professional singer from a professional singer

$robertantonsings",NYC,#SaturdayMorning,2021-10-02 13:06:44.759519,United States,0.0072331303,0.2948747,0.6978922
1444288662003388419,2021-10-02 13:10:25,SaturdayMorning,en,0,Twitter for iPad,http://twitter.com/#!/download/ipad,"“Exactly a year ago” #SaturdayMorning 

https://t.co/kPHBWEhL6y",2013-01-24 02:46:10,Cranky Becky,2524,Just another Twitter fool #HopeIsNotAPlan #UnityNotDivision,"Georgia, USA",#SaturdayMorning,2021-10-02 13:06:44.759519,United States,0.16973066,0.7399129,0.090356454
1444288661806268418,2021-10-02 13:10:25,,en,5,Twitter for Android,http://twitter.com/download/android,"RT @CPapasergio: ""Where have all the people gone my
  honey ?
  Where have all the people gone 
  today ?
  Well there's no need for you to…",2010-03-03 16:34:01,Marigold,6499,"Deadhead and phishphan. Love art, books, live music, and dancing.",,#SaturdayMorning,2021-10-02 13:06:44.759519,United States,0.52049917,0.4387048,0.04079604
1444288632332767232,2021-10-02 13:10:18,"DateNight, FridayNight",en,0,Twitter for Android,http://twitter.com/download/android,"We went on a date last  night 😍 - CHI ⛳

What a beautiful place and city. 

#DateNight #FridayNight… https://t.co/ie2TcOdlt4",2020-10-11 07:39:46,RAHIL FPL,278,"@arsenal 🇬🇧 , @dallasmavs 🇺🇲 

Gaffer of my #FPL⚽️  #NBA 🏀 and #NFL🏈 FL.
#straightupTX 

Join my FPL

CODE :elo4wm",Dallas,#SaturdayMorning,2021-10-02 13:06:44.759519,United States,0.001304136,0.017362762,0.9813331
1444288611680088070,2021-10-02 13:10:13,SaturdayMorning,und,0,Twitter Media Studio,https://studio.twitter.com,#SaturdayMorning https://t.co/VVjVYK6bFZ,2019-03-07 13:14:18,JIMMY_SNAGS,41,"Rated MA you chose to visit me. ""Hipster Drowns in Mainstream."" Comedy, is a natural fit for me. Polymathic, Micro-Vlogger, in this nongradicality.",Somewhere U.S.A.,#SaturdayMorning,2021-10-02 13:06:44.759519,United States,0.03977587,0.8738696,0.08635455
1444288607309778947,2021-10-02 13:10:12,"SeniorPupSaturday, SaturdayMorning, Dogs",en,16,Twitter for iPhone,http://twitter.com/download/iphone,RT @colleengrott: G’morning all!Today’s a cuddle day for an awesome pup on #SeniorPupSaturday #SaturdayMorning         #Dogs https://t.co/I…,2012-06-22 11:31:28,shaun flynn,1042,"What are you doing here, thank God.  As much of a Labour MP as Corbyn",fishguard ,#SaturdayMorning,2021-10-02 13:06:44.759519,United States,0.0008939764,0.021669045,0.977437
1444288602372907013,2021-10-02 13:10:11,"SaturdayMorning, giftideas",en,21,Twitter Web App,https://mobile.twitter.com,"RT @UKGiftHour: HALF-HOUR ALERT! Look this way for your #SaturdayMorning helping of #giftideas, fun and support from UK indies and creative…",2018-09-26 05:08:26,lex  alix,936,soy fan de taylor swift y selena gomez,guadalajara,#SaturdayMorning,2021-10-02 13:06:44.759519,United States,0.001784173,0.13848224,0.8597336
1444288583569866754,2021-10-02 13:10:06,"CatsofTwitter, Cats, Caturday, Pets",en,12,Twitter Web App,https://mobile.twitter.com,"RT @BadgerCrafty: #CatsofTwitter #Cats #Caturday #Pets

Crafty Badger has come up with a design of what cats do best cat nap

👉 https://t.c…",2021-07-28 13:30:25,BM.Halls,140,"An Independent with a conservative streak. Die Hard Browns fan, nature preservationist.",,#SaturdayMorning,2021-10-02 13:06:44.759519,United States,0.016508669,0.61754495,0.3659464
