tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1444288776033865732,2021-10-02 13:10:52,SaturdayThoughts,en,2,Twitter for Android,http://twitter.com/download/android,"RT @sobhasharma16: #SaturdayThoughts 

""Sin causes Suffering"" 

The way of worship given by supreme Saint Rampal Ji Maharaj can erase sins…",2020-07-07 16:13:59,Trupti Jadhav,97,⛄⛄,"Mumbai, India",#SaturdayThoughts,2021-10-02 13:06:44.759519,United States,0.23745261,0.68317443,0.07937293
1444288773496344591,2021-10-02 13:10:51,GodMorningSaturday,en,42,Twitter for Android,http://twitter.com/download/android,"RT @SunitaD07239108: #GodMorningSaturday
The Spiritual power of Supreme God is so massive and powerful that can do anything .
#SaturdayThou…",2020-08-05 03:55:19,HemRaj 👉Follow Back👈,732,Sat Saheb Ji,"Yamunanagar, India",#SaturdayThoughts,2021-10-02 13:06:44.759519,United States,0.0026903935,0.09189762,0.905412
1444288771759828992,2021-10-02 13:10:51,GodMorningSaturday,en,68,Twitter for Android,http://twitter.com/download/android,"RT @simple_LivingR: #GodMorningSaturday
Worship which is opposedto the injuctions of the scriptures is useless. It is the cause of decline.…",2020-08-05 03:55:19,HemRaj 👉Follow Back👈,732,Sat Saheb Ji,"Yamunanagar, India",#SaturdayThoughts,2021-10-02 13:06:44.759519,United States,0.7775902,0.20750485,0.014905001
1444288764319199235,2021-10-02 13:10:49,"GodMorningSaturday, SaturdayThoughts",en,0,Twitter for Android,http://twitter.com/download/android,"#GodMorningSaturday
True way of Worship if Supreme God can erase sins and grant Salvation.
#SaturdayThoughts https://t.co/D8voSdQ0ha",2019-12-29 12:50:40,♥Chanchal Adwani♥,11939,🙏must watch sadhna tv at 7:30pm🙏,Faridabad ,#SaturdayThoughts,2021-10-02 13:06:44.759519,United States,0.009390837,0.42271456,0.5678946
1444288751623028742,2021-10-02 13:10:46,,en,5,Twitter for Android,http://twitter.com/download/android,"RT @sobhasharma16: Kabir, eat meat to dhed sab, drink the item so low on the misfortune of the family, Ram says so high.  Kabir Parmeshwar…",2020-07-07 16:13:59,Trupti Jadhav,97,⛄⛄,"Mumbai, India",#SaturdayThoughts,2021-10-02 13:06:44.759519,United States,0.25257945,0.7061991,0.041221388
1444288751283232773,2021-10-02 13:10:46,,en,0,Twitter for Android,http://twitter.com/download/android,This holy text explains why the vibrations that clothing emits depend on various factors such as the kind of fabric… https://t.co/gHJYY3JcVP,2020-09-17 06:47:50,Vasanthakumara,230,"ಜಯತು ಜಯತು ""ಹಿಂದೂ"" ರಾಷ್ಟ್ರo",,#SaturdayThoughts,2021-10-02 13:06:44.759519,United States,0.01898852,0.8531097,0.12790175
1444288746900189190,2021-10-02 13:10:45,,en,789,Twitter for Android,http://twitter.com/download/android,"RT @SatlokChannel: Stop Killing animals

Supreme God Kabir condemned both muslims and hindus on the practices and rituals of meat eating.
-…",2017-01-20 17:22:14,STV NEWS,4988,Human life is a precious gift of supreme God.,"Mandsaur, India",#SaturdayThoughts,2021-10-02 13:06:44.759519,United States,0.70621526,0.28513134,0.00865334
1444288731712741378,2021-10-02 13:10:41,,hi,0,Twitter Web App,https://mobile.twitter.com,"BeVegetarian परमात्मा ने हम मनुष्यों के खाने के लिए फलदार वृक्ष तथा बीजदार पौधे दिए हैं, मांस खाने का आदेश नहीं दि… https://t.co/Kdi5eQvbCB",2020-08-07 17:06:35,Gurmeet Singh,279,"#kabir is supreme God 
Search now https://t.co/10XlmRYTKj",,#SaturdayThoughts,2021-10-02 13:06:44.759519,United States,0.19637308,0.7652457,0.038381204
1444288729833746433,2021-10-02 13:10:41,,en,1,Twitter Web App,https://mobile.twitter.com,RT @SoUWanaBaSinger: You can get in a good vocal warmup without waking the whole house. Here's how: https://t.co/cuJZUsNHta  via @YouTube #…,2011-03-26 16:36:55,Robert Anton,506,"Advice on becoming a professional singer from a professional singer

$robertantonsings",NYC,#SaturdayThoughts,2021-10-02 13:06:44.759519,United States,0.0072331303,0.2948747,0.6978922
1444288719347875842,2021-10-02 13:10:38,"GodMorningSaturday, SaturdayThoughts, सतभक्ति_संदेश",en,35,Twitter for Android,http://twitter.com/download/android,"RT @official_monu_: #GodMorningSaturday
#SaturdayThoughts 

Must Watch Sadhna TV 07:30 PM
#सतभक्ति_संदेश https://t.co/9DgyAIetCY",2020-08-05 03:55:19,HemRaj 👉Follow Back👈,732,Sat Saheb Ji,"Yamunanagar, India",#SaturdayThoughts,2021-10-02 13:06:44.759519,United States,0.043583896,0.82858104,0.1278351
