tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1444287892616998912,2021-10-02 13:07:21,,en,340,Twitter for iPhone,http://twitter.com/download/iphone,"RT @Stella4Menzies: What’s going on with the Australian media? Are they a critical pillar of our democracy or a joke?

From the coverage, y…",2018-12-15 06:22:01,Frank Pagliuca,142,"Proud (inclusive) Australian, son of Lucanian immigrants, educator, humanist, supporter of truth and justice for all.",,#nswpol,2021-10-02 13:06:44.759519,Australia,0.48241916,0.49326745,0.024313413
1444287840049762304,2021-10-02 13:07:09,,en,0,Twitter Web App,https://mobile.twitter.com,Good luck NSW Gladys maybe investigated for corruption but Perrottet is Trump loving right wing christian who could… https://t.co/MtLOOEcBLk,2021-10-01 11:04:07,Donwan,0,,,#nswpol,2021-10-02 13:06:44.759519,Australia,0.3884086,0.5058651,0.1057263
1444287824254013453,2021-10-02 13:07:05,,en,340,Twitter for iPhone,http://twitter.com/download/iphone,"RT @Stella4Menzies: What’s going on with the Australian media? Are they a critical pillar of our democracy or a joke?

From the coverage, y…",2014-05-25 02:50:52,Christopher Kelly,568,"Reg Architect NZ,UK,NSW,VIC. Principal of Architecture Workshop, Industry Fellow Monash University Melb & tutor VUW Wgtn. https://t.co/u0J4pBeHb6",Aotearoa New Zealand ,#nswpol,2021-10-02 13:06:44.759519,Australia,0.48241916,0.49326745,0.024313413
1444287794537394180,2021-10-02 13:06:58,,en,9,Twitter Web App,https://mobile.twitter.com,"RT @james00000001: Warning NSW residents: It's about to get MUCH worse.

Maybe Morrison convinced Berejiklian to resign, so that a candidat…",2010-01-23 12:17:29,Mark Norton,1672,"Former Labor supporter, former Maths teacher.
Retired public servant of the Feds",Newcastle NSW,#nswpol,2021-10-02 13:06:44.759519,Australia,0.7699187,0.21697083,0.013110528
1444287722093309957,2021-10-02 13:06:41,"ICAC, GladysBerejiklian, nswpol",en,47,Twitter for iPhone,http://twitter.com/download/iphone,"RT @JaquelineOutram: Reminder: This is how Gladys led NSW through the bushfires.

#ICAC #GladysBerejiklian #nswpol 

Pork barrelling of NSW…",2013-06-28 06:45:28,ramona quazzola,1394,,,#nswpol,2021-10-02 13:06:44.759519,Australia,0.24885105,0.68533325,0.06581561
1444287711494303745,2021-10-02 13:06:38,"NotClassy, Integrity, corruption, MakeTruthMatterAgain, NSWICAC, Gladys, nswpol, FederalICACNow",en,0,Twitter Web App,https://mobile.twitter.com,"Agree, #NotClassy!

#Integrity 
#corruption 
#MakeTruthMatterAgain!

#NSWICAC 
#Gladys
#nswpol 

#FederalICACNow!… https://t.co/riBvvnmVl4",2009-05-07 07:49:13,💧🕯️ Fierce Dinosaur 🔥 🐨 😪 😡💉💉,2705,"Refugees still locked up! 😥 8 yrs!
Climate EMERGENCY - turning point? 😘
Koalas going extinct! 😭
Destructive neoliberal govts must go!
Please get active!","Sydney, Australia",#nswpol,2021-10-02 13:06:44.759519,Australia,0.20811956,0.5806357,0.21124469
1444287700178116611,2021-10-02 13:06:35,,en,37,Twitter for Android,http://twitter.com/download/android,"RT @RLBraithwaite: @RonniSalt And as @QuentinDempster pointed out, under the Minister's code of ethics, she was duty-bound to disclose her…",2011-01-12 04:31:16,Carol Barton,363,Stalker of Truth,"Nubeena,Tasmania",#nswpol,2021-10-02 13:06:44.759519,Australia,0.0967829,0.862875,0.040342152
1444287655944994826,2021-10-02 13:06:25,,en,1,Twitter for iPhone,http://twitter.com/download/iphone,"RT @grafiti: @7NewsSydney @alexhart7 In a sane world, that would be the end of Perrottet's chances. Endorsed by the lying, fear-mongering w…",2021-08-21 08:12:40,free,40,,,#nswpol,2021-10-02 13:06:44.759519,Australia,0.8378049,0.15162918,0.010565923
1444287619521724420,2021-10-02 13:06:16,,en,149,Twitter for Android,http://twitter.com/download/android,"RT @EddyJokovich: I can’t recall anyone sticking up for Eddie Obeid, or any LNP MPs congratulating him for his service. What makes Berejikl…",2011-09-10 07:35:34,Paul Leon Isbel,289,An apologist to the next generation and a  critic of my own,"Melbourne, Victoria",#nswpol,2021-10-02 13:06:44.759519,Australia,0.47385615,0.46666366,0.05948022
1444287564945367047,2021-10-02 13:06:03,"nswpol, nswpremier, NSWICAC",en,0,Twitter for iPhone,http://twitter.com/download/iphone,@9NewsMelb Please NO! This is not where NSW wants to go. #nswpol #nswpremier #NSWICAC,2019-05-20 09:53:31,Sharron,245,Just here for other’s opinions. Know mine aren’t always right but you have to have one.         RT anything you think is worthwhile for others.,Australia,#nswpol,2021-10-02 13:06:44.759519,Australia,0.87440866,0.11427538,0.011315947
