tweet_id,tweet_datetime,tweet_text,searched_by_hashtag,user_name,retweet_count,Roberta_neg,Roberta_neu,Roberta_pos
1,0,🚀 The future of decentralization starts now with #DionexStarlink! Join the movement on dioneprotocol.com,DionexStarlink,twitter user,0,0.0011558725,0.12904,0.86980414
2,0,"We all fall short 😂

Pls follow: @ApstFortune
#GCKinAccra #bumblebee #alarm  Ricoffy  #OTTVoucher  LASTMA  Smarty  #DionexStarlink  Moms for Liberty  #DateMyFamily #ShakaiLembeMzansi",DionexStarlink,twitter user,0,0.35828248,0.56305414,0.07866339
3,0,"#DionexStarlink $DIONE $TSLA #ElonMusk

Thats the Tweet",DionexStarlink,twitter user,0,0.045846567,0.877741,0.0764124
4,0,#DIONEXSTARLINK,DionexStarlink,twitter user,0,0.014936866,0.81980467,0.16525838
5,0,This is unbelievable 🤩 #DIONExSTARLINK,DionexStarlink,twitter user,0,0.0013148969,0.015192879,0.9834922
6,0,"#DionexStarlink
islamreligion.com
Puzzling scientific discoveries were explored earlier by Mohammed: islamreligion.com",DionexStarlink,twitter user,0,0.2649497,0.68082875,0.05422157
7,0,"[ TTs US🇺🇸 12:35 ]
#DionexStarlink entered the Top Trends => 1⃣",DionexStarlink,twitter user,0,0.013513726,0.86899996,0.11748636
8,0,"#DIONE and #Starlink are teaming up to launch #ORION, Dione Protocol as  the world's first truly decentralized blockchain powered by the sun. With remote internet connectivity, ORION will offer maximum security and privacy. #DIONExSTARLINK",DionexStarlink,twitter user,0,0.0012435662,0.13600336,0.86275303
9,0,🚀 The future of decentralization starts now with #DionexStarlink! Join the movement on dioneprotocol.com,DionexStarlink,twitter user,0,0.0011558725,0.12904,0.86980414
10,0,"We all fall short 😂

Pls follow: @ApstFortune
#GCKinAccra #bumblebee #alarm  Ricoffy  #OTTVoucher  LASTMA  Smarty  #DionexStarlink  Moms for Liberty  #DateMyFamily #ShakaiLembeMzansi",DionexStarlink,twitter user,0,0.35828248,0.56305414,0.07866339
11,0,"#DionexStarlink $DIONE $TSLA #ElonMusk

Thats the Tweet",DionexStarlink,twitter user,0,0.045846567,0.877741,0.0764124
12,0,#DIONEXSTARLINK,DionexStarlink,twitter user,0,0.014936866,0.81980467,0.16525838
13,0,This is unbelievable 🤩 #DIONExSTARLINK,DionexStarlink,twitter user,0,0.0013148969,0.015192879,0.9834922
14,0,"#DionexStarlink
islamreligion.com
Puzzling scientific discoveries were explored earlier by Mohammed: islamreligion.com",DionexStarlink,twitter user,0,0.2649497,0.68082875,0.05422157
15,0,"[ TTs US🇺🇸 12:35 ]
#DionexStarlink entered the Top Trends => 1⃣",DionexStarlink,twitter user,0,0.013513726,0.86899996,0.11748636
16,0,"#DIONE and #Starlink are teaming up to launch #ORION, Dione Protocol as  the world's first truly decentralized blockchain powered by the sun. With remote internet connectivity, ORION will offer maximum security and privacy. #DIONExSTARLINK",DionexStarlink,twitter user,0,0.0012435662,0.13600336,0.86275303
17,0,🚀 The future of decentralization starts now with #DionexStarlink! Join the movement on dioneprotocol.com,DionexStarlink,twitter user,0,0.0011558725,0.12904,0.86980414
18,0,"We all fall short 😂

Pls follow: @ApstFortune
#GCKinAccra #bumblebee #alarm  Ricoffy  #OTTVoucher  LASTMA  Smarty  #DionexStarlink  Moms for Liberty  #DateMyFamily #ShakaiLembeMzansi",DionexStarlink,twitter user,0,0.35828248,0.56305414,0.07866339
19,0,"#DionexStarlink $DIONE $TSLA #ElonMusk

Thats the Tweet",DionexStarlink,twitter user,0,0.045846567,0.877741,0.0764124
20,0,#DIONEXSTARLINK,DionexStarlink,twitter user,0,0.014936866,0.81980467,0.16525838
21,0,This is unbelievable 🤩 #DIONExSTARLINK,DionexStarlink,twitter user,0,0.0013148969,0.015192879,0.9834922
22,0,"#DionexStarlink
islamreligion.com
Puzzling scientific discoveries were explored earlier by Mohammed: islamreligion.com",DionexStarlink,twitter user,0,0.2649497,0.68082875,0.05422157
23,0,"[ TTs US🇺🇸 12:35 ]
#DionexStarlink entered the Top Trends => 1⃣",DionexStarlink,twitter user,0,0.013513726,0.86899996,0.11748636
24,0,"#DIONE and #Starlink are teaming up to launch #ORION, Dione Protocol as  the world's first truly decentralized blockchain powered by the sun. With remote internet connectivity, ORION will offer maximum security and privacy. #DIONExSTARLINK",DionexStarlink,twitter user,0,0.0012435662,0.13600336,0.86275303
25,0,🚀 The future of decentralization starts now with #DionexStarlink! Join the movement on dioneprotocol.com,DionexStarlink,twitter user,0,0.0011558725,0.12904,0.86980414
26,0,"We all fall short 😂

Pls follow: @ApstFortune
#GCKinAccra #bumblebee #alarm  Ricoffy  #OTTVoucher  LASTMA  Smarty  #DionexStarlink  Moms for Liberty  #DateMyFamily #ShakaiLembeMzansi",DionexStarlink,twitter user,0,0.35828248,0.56305414,0.07866339
27,0,"#DionexStarlink $DIONE $TSLA #ElonMusk

Thats the Tweet",DionexStarlink,twitter user,0,0.045846567,0.877741,0.0764124
28,0,#DIONEXSTARLINK,DionexStarlink,twitter user,0,0.014936866,0.81980467,0.16525838
29,0,This is unbelievable 🤩 #DIONExSTARLINK,DionexStarlink,twitter user,0,0.0013148969,0.015192879,0.9834922
30,0,"#DionexStarlink
islamreligion.com
Puzzling scientific discoveries were explored earlier by Mohammed: islamreligion.com",DionexStarlink,twitter user,0,0.2649497,0.68082875,0.05422157
31,0,"[ TTs US🇺🇸 12:35 ]
#DionexStarlink entered the Top Trends => 1⃣",DionexStarlink,twitter user,0,0.013513726,0.86899996,0.11748636
32,0,"#DIONE and #Starlink are teaming up to launch #ORION, Dione Protocol as  the world's first truly decentralized blockchain powered by the sun. With remote internet connectivity, ORION will offer maximum security and privacy. #DIONExSTARLINK",DionexStarlink,twitter user,0,0.0012435662,0.13600336,0.86275303
33,0,🚀 The future of decentralization starts now with #DionexStarlink! Join the movement on dioneprotocol.com,DionexStarlink,twitter user,0,0.0011558725,0.12904,0.86980414
34,0,"We all fall short 😂

Pls follow: @ApstFortune
#GCKinAccra #bumblebee #alarm  Ricoffy  #OTTVoucher  LASTMA  Smarty  #DionexStarlink  Moms for Liberty  #DateMyFamily #ShakaiLembeMzansi",DionexStarlink,twitter user,0,0.35828248,0.56305414,0.07866339
35,0,"#DionexStarlink $DIONE $TSLA #ElonMusk

Thats the Tweet",DionexStarlink,twitter user,0,0.045846567,0.877741,0.0764124
36,0,#DIONEXSTARLINK,DionexStarlink,twitter user,0,0.014936866,0.81980467,0.16525838
37,0,This is unbelievable 🤩 #DIONExSTARLINK,DionexStarlink,twitter user,0,0.0013148969,0.015192879,0.9834922
38,0,"#DionexStarlink
islamreligion.com
Puzzling scientific discoveries were explored earlier by Mohammed: islamreligion.com",DionexStarlink,twitter user,0,0.2649497,0.68082875,0.05422157
39,0,"[ TTs US🇺🇸 12:35 ]
#DionexStarlink entered the Top Trends => 1⃣",DionexStarlink,twitter user,0,0.013513726,0.86899996,0.11748636
